time_utc,t,p
2025-08-05 17:00:00,1754415850.0,0.5
2025-08-05 18:00:00,1754416808.0,0.49
2025-08-05 19:00:00,1754420409.0,0.355
2025-08-05 20:00:00,1754424009.0,0.025
2025-08-05 21:00:00,1754427610.0,0.02
2025-08-05 22:00:00,1754431209.0,0.0195
2025-08-05 23:00:00,1754434808.0,0.0195
2025-08-06 00:00:00,1754438409.0,0.0195
2025-08-06 01:00:00,1754442009.0,0.019
2025-08-06 02:00:00,1754445610.0,0.0195
2025-08-06 03:00:00,1754449209.0,0.0195
2025-08-06 04:00:00,1754452810.0,0.019
2025-08-06 05:00:00,1754456410.0,0.019
2025-08-06 06:00:00,1754460009.0,0.019
2025-08-06 07:00:00,1754463609.0,0.019
2025-08-06 08:00:00,1754467209.0,0.0175
2025-08-06 09:00:00,1754470809.0,0.016
2025-08-06 10:00:00,1754474409.0,0.014
2025-08-06 11:00:00,1754478009.0,0.014
2025-08-06 12:00:00,1754481608.0,0.014
2025-08-06 13:00:00,1754485209.0,0.014
2025-08-06 14:00:00,1754488809.0,0.014
2025-08-06 15:00:00,1754492410.0,0.014
2025-08-06 16:00:00,1754496009.0,0.014
2025-08-06 17:00:00,1754499608.0,0.014
2025-08-06 18:00:00,1754503209.0,0.0035
2025-08-06 19:00:00,1754506806.0,0.0035
2025-08-06 20:00:00,1754510404.0,0.0035
2025-08-06 21:00:00,1754514008.0,0.0035
2025-08-06 22:00:00,1754517614.0,0.0035
2025-08-06 23:00:00,1754521214.0,0.0035
2025-08-07 00:00:00,1754524806.0,0.0035
2025-08-07 01:00:00,1754528404.0,0.0035
2025-08-07 02:00:00,1754532005.0,0.0035
2025-08-07 03:00:00,1754535609.0,0.0035
2025-08-07 04:00:00,1754539213.0,0.0035
2025-08-07 05:00:00,1754542814.0,0.0035
2025-08-07 06:00:00,1754546412.0,0.0035
2025-08-07 07:00:00,1754550015.0,0.0035
2025-08-07 08:00:00,1754553602.0,0.0035
2025-08-07 09:00:00,1754557202.0,0.0035
2025-08-07 10:00:00,1754560810.0,0.0035
2025-08-07 11:00:00,1754564415.0,0.0035
2025-08-07 12:00:00,1754568016.0,0.0035
2025-08-07 13:00:00,1754571606.0,0.0035
2025-08-07 14:00:00,1754575215.0,0.0035
2025-08-07 15:00:00,1754578802.0,0.0035
2025-08-07 16:00:00,1754582407.0,0.0035
2025-08-07 17:00:00,1754586014.0,0.0035
2025-08-07 18:00:00,1754589611.0,0.0035
2025-08-07 19:00:00,1754593208.0,0.004
2025-08-07 20:00:00,1754596805.0,0.004
2025-08-07 21:00:00,1754600416.0,0.004
2025-08-07 22:00:00,1754604010.0,0.0035
2025-08-07 23:00:00,1754607606.0,0.0035
2025-08-08 00:00:00,1754611207.0,0.0035
2025-08-08 01:00:00,1754614807.0,0.0035
2025-08-08 02:00:00,1754618403.0,0.0035
2025-08-08 03:00:00,1754622012.0,0.0035
2025-08-08 04:00:00,1754625606.0,0.0035
2025-08-08 05:00:00,1754629205.0,0.0035
2025-08-08 06:00:00,1754632802.0,0.0035
2025-08-08 07:00:00,1754636417.0,0.0035
2025-08-08 08:00:00,1754640013.0,0.0035
2025-08-08 09:00:00,1754643605.0,0.0035
2025-08-08 10:00:00,1754647214.0,0.0035
2025-08-08 11:00:00,1754650802.0,0.0035
2025-08-08 12:00:00,1754654406.0,0.0035
2025-08-08 13:00:00,1754658003.0,0.0035
2025-08-08 14:00:00,1754661607.0,0.0035
2025-08-08 15:00:00,1754665216.0,0.0035
2025-08-08 16:00:00,1754668811.0,0.0035
2025-08-08 17:00:00,1754672415.0,0.0035
2025-08-08 18:00:00,1754676017.0,0.0035
2025-08-08 19:00:00,1754679603.0,0.0035
2025-08-08 20:00:00,1754683210.0,0.0035
2025-08-08 21:00:00,1754686802.0,0.0035
2025-08-08 22:00:00,1754690412.0,0.0035
2025-08-08 23:00:00,1754694002.0,0.0035
2025-08-09 00:00:00,1754697610.0,0.0035
2025-08-09 01:00:00,1754701206.0,0.0035
2025-08-09 02:00:00,1754704805.0,0.0035
2025-08-09 03:00:00,1754708416.0,0.003
2025-08-09 04:00:00,1754712017.0,0.003
2025-08-09 05:00:00,1754715612.0,0.003
2025-08-09 06:00:00,1754719203.0,0.003
2025-08-09 07:00:00,1754722812.0,0.003
2025-08-09 08:00:00,1754726408.0,0.003
2025-08-09 09:00:00,1754730012.0,0.003
2025-08-09 10:00:00,1754733611.0,0.003
2025-08-09 11:00:00,1754737204.0,0.003
2025-08-09 12:00:00,1754740803.0,0.0035
2025-08-09 13:00:00,1754744411.0,0.0035
2025-08-09 14:00:00,1754748005.0,0.0035
2025-08-09 15:00:00,1754751614.0,0.0035
2025-08-09 16:00:00,1754755212.0,0.0035
2025-08-09 17:00:00,1754758814.0,0.0035
2025-08-09 18:00:00,1754762402.0,0.0035
2025-08-09 19:00:00,1754766016.0,0.0035
2025-08-09 20:00:00,1754769610.0,0.0035
2025-08-09 21:00:00,1754773219.0,0.0035
2025-08-09 22:00:00,1754776812.0,0.0035
2025-08-09 23:00:00,1754780405.0,0.0035
2025-08-10 00:00:00,1754784007.0,0.0035
2025-08-10 01:00:00,1754787609.0,0.0035
2025-08-10 02:00:00,1754791212.0,0.0035
2025-08-10 03:00:00,1754794806.0,0.0035
2025-08-10 04:00:00,1754798406.0,0.0035
2025-08-10 05:00:00,1754802004.0,0.0035
2025-08-10 06:00:00,1754805610.0,0.0035
2025-08-10 07:00:00,1754809204.0,0.0035
2025-08-10 08:00:00,1754812802.0,0.0035
2025-08-10 09:00:00,1754816407.0,0.0035
2025-08-10 10:00:00,1754820007.0,0.0035
2025-08-10 11:00:00,1754823610.0,0.0035
2025-08-10 12:00:00,1754827211.0,0.0035
2025-08-10 13:00:00,1754830813.0,0.0035
2025-08-10 14:00:00,1754834402.0,0.0035
2025-08-10 15:00:00,1754838013.0,0.0035
2025-08-10 16:00:00,1754841614.0,0.0045
2025-08-10 17:00:00,1754845217.0,0.0045
2025-08-10 18:00:00,1754848806.0,0.0045
2025-08-10 19:00:00,1754852403.0,0.0045
2025-08-10 20:00:00,1754856013.0,0.0045
2025-08-10 21:00:00,1754859614.0,0.0035
2025-08-10 22:00:00,1754863204.0,0.0035
2025-08-10 23:00:00,1754866807.0,0.0035
2025-08-11 00:00:00,1754870412.0,0.0035
2025-08-11 01:00:00,1754874004.0,0.0035
2025-08-11 02:00:00,1754877602.0,0.0035
2025-08-11 03:00:00,1754881202.0,0.0035
2025-08-11 04:00:00,1754884816.0,0.0035
2025-08-11 05:00:00,1754888407.0,0.0035
2025-08-11 06:00:00,1754892012.0,0.0035
2025-08-11 07:00:00,1754895602.0,0.0035
2025-08-11 08:00:00,1754899216.0,0.0035
2025-08-11 09:00:00,1754902812.0,0.0035
2025-08-11 10:00:00,1754906402.0,0.0035
2025-08-11 11:00:00,1754910004.0,0.0035
2025-08-11 12:00:00,1754913616.0,0.0035
2025-08-11 13:00:00,1754917214.0,0.0035
2025-08-11 14:00:00,1754920810.0,0.0035
2025-08-11 15:00:00,1754924409.0,0.0035
2025-08-11 16:00:00,1754928003.0,0.0035
2025-08-11 17:00:00,1754931604.0,0.0035
2025-08-11 18:00:00,1754935208.0,0.0035
2025-08-11 19:00:00,1754938803.0,0.0035
2025-08-11 20:00:00,1754942403.0,0.0035
2025-08-11 21:00:00,1754946007.0,0.0035
2025-08-11 22:00:00,1754949603.0,0.0035
2025-08-11 23:00:00,1754953207.0,0.0035
2025-08-12 00:00:00,1754956805.0,0.0035
2025-08-12 01:00:00,1754960405.0,0.0035
2025-08-12 02:00:00,1754964010.0,0.0035
2025-08-12 03:00:00,1754967608.0,0.0035
2025-08-12 04:00:00,1754971209.0,0.0035
2025-08-12 05:00:00,1754974809.0,0.0035
2025-08-12 06:00:00,1754978412.0,0.0035
2025-08-12 07:00:00,1754982011.0,0.0035
2025-08-12 08:00:00,1754985606.0,0.0035
2025-08-12 09:00:00,1754989216.0,0.0035
2025-08-12 10:00:00,1754992813.0,0.0035
2025-08-12 11:00:00,1754996402.0,0.0035
2025-08-12 12:00:00,1755000008.0,0.0035
2025-08-12 13:00:00,1755003606.0,0.0035
2025-08-12 14:00:00,1755007202.0,0.0035
2025-08-12 15:00:00,1755010805.0,0.0035
2025-08-12 16:00:00,1755014410.0,0.0035
2025-08-12 17:00:00,1755018007.0,0.0035
