time_utc,t,p
2025-08-05 17:00:00,1754415789.0,0.505
2025-08-05 18:00:00,1754416808.0,0.35
2025-08-05 19:00:00,1754420409.0,0.32
2025-08-05 20:00:00,1754424009.0,0.03
2025-08-05 21:00:00,1754427610.0,0.03
2025-08-05 22:00:00,1754431209.0,0.0255
2025-08-05 23:00:00,1754434808.0,0.0245
2025-08-06 00:00:00,1754438409.0,0.025
2025-08-06 01:00:00,1754442009.0,0.025
2025-08-06 02:00:00,1754445610.0,0.0245
2025-08-06 03:00:00,1754449209.0,0.0295
2025-08-06 04:00:00,1754452810.0,0.0295
2025-08-06 05:00:00,1754456410.0,0.0295
2025-08-06 06:00:00,1754460009.0,0.0295
2025-08-06 07:00:00,1754463609.0,0.031
2025-08-06 08:00:00,1754467209.0,0.0315
2025-08-06 09:00:00,1754470809.0,0.033
2025-08-06 10:00:00,1754474409.0,0.034
2025-08-06 11:00:00,1754478009.0,0.034
2025-08-06 12:00:00,1754481608.0,0.034
2025-08-06 13:00:00,1754485209.0,0.034
2025-08-06 14:00:00,1754488809.0,0.034
2025-08-06 15:00:00,1754492410.0,0.034
2025-08-06 16:00:00,1754496009.0,0.034
2025-08-06 17:00:00,1754499608.0,0.043
2025-08-06 18:00:00,1754503209.0,0.0375
2025-08-06 19:00:00,1754506806.0,0.037
2025-08-06 20:00:00,1754510405.0,0.04
2025-08-06 21:00:00,1754514008.0,0.0375
2025-08-06 22:00:00,1754517602.0,0.035
2025-08-06 23:00:00,1754521214.0,0.0295
2025-08-07 00:00:00,1754524807.0,0.0295
2025-08-07 01:00:00,1754528405.0,0.0295
2025-08-07 02:00:00,1754532010.0,0.0295
2025-08-07 03:00:00,1754535615.0,0.0295
2025-08-07 04:00:00,1754539205.0,0.0295
2025-08-07 05:00:00,1754542806.0,0.0295
2025-08-07 06:00:00,1754546403.0,0.0295
2025-08-07 07:00:00,1754550005.0,0.0295
2025-08-07 08:00:00,1754553607.0,0.0295
2025-08-07 09:00:00,1754557210.0,0.0295
2025-08-07 10:00:00,1754560815.0,0.0295
2025-08-07 11:00:00,1754564406.0,0.0295
2025-08-07 12:00:00,1754568005.0,0.0295
2025-08-07 13:00:00,1754571610.0,0.0295
2025-08-07 14:00:00,1754575205.0,0.0295
2025-08-07 15:00:00,1754578808.0,0.0295
2025-08-07 16:00:00,1754582412.0,0.0295
2025-08-07 17:00:00,1754586004.0,0.0295
2025-08-07 18:00:00,1754589616.0,0.0295
2025-08-07 19:00:00,1754593213.0,0.0295
2025-08-07 20:00:00,1754596810.0,0.0295
2025-08-07 21:00:00,1754600404.0,0.0295
2025-08-07 22:00:00,1754604014.0,0.0295
2025-08-07 23:00:00,1754607611.0,0.0295
2025-08-08 00:00:00,1754611210.0,0.0295
2025-08-08 01:00:00,1754614809.0,0.0295
2025-08-08 02:00:00,1754618406.0,0.0295
2025-08-08 03:00:00,1754622014.0,0.0295
2025-08-08 04:00:00,1754625603.0,0.0295
2025-08-08 05:00:00,1754629202.0,0.0295
2025-08-08 06:00:00,1754632813.0,0.0295
2025-08-08 07:00:00,1754636413.0,0.0295
2025-08-08 08:00:00,1754640010.0,0.0295
2025-08-08 09:00:00,1754643615.0,0.0295
2025-08-08 10:00:00,1754647208.0,0.0295
2025-08-08 11:00:00,1754650810.0,0.0295
2025-08-08 12:00:00,1754654417.0,0.0295
2025-08-08 13:00:00,1754658011.0,0.0295
2025-08-08 14:00:00,1754661616.0,0.0295
2025-08-08 15:00:00,1754665209.0,0.0295
2025-08-08 16:00:00,1754668805.0,0.0295
2025-08-08 17:00:00,1754672409.0,0.029
2025-08-08 18:00:00,1754676010.0,0.029
2025-08-08 19:00:00,1754679612.0,0.0285
2025-08-08 20:00:00,1754683203.0,0.0285
2025-08-08 21:00:00,1754686811.0,0.0285
2025-08-08 22:00:00,1754690405.0,0.0285
2025-08-08 23:00:00,1754694011.0,0.0285
2025-08-09 00:00:00,1754697604.0,0.0285
2025-08-09 01:00:00,1754701212.0,0.0285
2025-08-09 02:00:00,1754704813.0,0.021
2025-08-09 03:00:00,1754708410.0,0.021
2025-08-09 04:00:00,1754712011.0,0.0195
2025-08-09 05:00:00,1754715606.0,0.0215
2025-08-09 06:00:00,1754719214.0,0.0185
2025-08-09 07:00:00,1754722807.0,0.019
2025-08-09 08:00:00,1754726402.0,0.019
2025-08-09 09:00:00,1754730009.0,0.0195
2025-08-09 10:00:00,1754733609.0,0.019
2025-08-09 11:00:00,1754737203.0,0.019
2025-08-09 12:00:00,1754740821.0,0.019
2025-08-09 13:00:00,1754744408.0,0.021
