time_utc,t,p
2025-08-05 17:00:00,1754415789.0,0.505
2025-08-05 18:00:00,1754416808.0,0.51
2025-08-05 19:00:00,1754420409.0,0.415
2025-08-05 20:00:00,1754424009.0,0.155
2025-08-05 21:00:00,1754427610.0,0.15
2025-08-05 22:00:00,1754431209.0,0.155
2025-08-05 23:00:00,1754434808.0,0.15
2025-08-06 00:00:00,1754438409.0,0.15
2025-08-06 01:00:00,1754442009.0,0.15
2025-08-06 02:00:00,1754445610.0,0.16
2025-08-06 03:00:00,1754449209.0,0.165
2025-08-06 04:00:00,1754452810.0,0.195
2025-08-06 05:00:00,1754456410.0,0.19
2025-08-06 06:00:00,1754460009.0,0.19
2025-08-06 07:00:00,1754463609.0,0.19
2025-08-06 08:00:00,1754467209.0,0.195
2025-08-06 09:00:00,1754470809.0,0.195
2025-08-06 10:00:00,1754474409.0,0.195
2025-08-06 11:00:00,1754478009.0,0.195
2025-08-06 12:00:00,1754481608.0,0.195
2025-08-06 13:00:00,1754485209.0,0.195
2025-08-06 14:00:00,1754488809.0,0.19
2025-08-06 15:00:00,1754492410.0,0.19
2025-08-06 16:00:00,1754496009.0,0.19
2025-08-06 17:00:00,1754499608.0,0.185
2025-08-06 18:00:00,1754503209.0,0.185
2025-08-06 19:00:00,1754506806.0,0.185
2025-08-06 20:00:00,1754510405.0,0.185
2025-08-06 21:00:00,1754514008.0,0.185
2025-08-06 22:00:00,1754517602.0,0.185
2025-08-06 23:00:00,1754521214.0,0.17
2025-08-07 00:00:00,1754524807.0,0.17
2025-08-07 01:00:00,1754528405.0,0.17
2025-08-07 02:00:00,1754532010.0,0.17
2025-08-07 03:00:00,1754535614.0,0.17
2025-08-07 04:00:00,1754539204.0,0.17
2025-08-07 05:00:00,1754542806.0,0.17
2025-08-07 06:00:00,1754546402.0,0.165
2025-08-07 07:00:00,1754550004.0,0.17
2025-08-07 08:00:00,1754553607.0,0.165
2025-08-07 09:00:00,1754557208.0,0.165
2025-08-07 10:00:00,1754560813.0,0.165
2025-08-07 11:00:00,1754564403.0,0.165
2025-08-07 12:00:00,1754568004.0,0.165
2025-08-07 13:00:00,1754571608.0,0.165
2025-08-07 14:00:00,1754575203.0,0.165
2025-08-07 15:00:00,1754578806.0,0.38
2025-08-07 16:00:00,1754582411.0,0.38
2025-08-07 17:00:00,1754586002.0,0.37
2025-08-07 18:00:00,1754589613.0,0.335
2025-08-07 19:00:00,1754593212.0,0.34
2025-08-07 20:00:00,1754596809.0,0.375
2025-08-07 21:00:00,1754600402.0,0.385
2025-08-07 22:00:00,1754604013.0,0.45
2025-08-07 23:00:00,1754607609.0,0.44
2025-08-08 00:00:00,1754611209.0,0.445
2025-08-08 01:00:00,1754614809.0,0.48
2025-08-08 02:00:00,1754618405.0,0.455
2025-08-08 03:00:00,1754622007.0,0.445
2025-08-08 04:00:00,1754625611.0,0.445
2025-08-08 05:00:00,1754629211.0,0.445
2025-08-08 06:00:00,1754632808.0,0.45
2025-08-08 07:00:00,1754636407.0,0.45
2025-08-08 08:00:00,1754640005.0,0.45
2025-08-08 09:00:00,1754643618.0,0.45
2025-08-08 10:00:00,1754647210.0,0.45
2025-08-08 11:00:00,1754650813.0,0.45
2025-08-08 12:00:00,1754654420.0,0.45
2025-08-08 13:00:00,1754658013.0,0.45
2025-08-08 14:00:00,1754661603.0,0.445
2025-08-08 15:00:00,1754665212.0,0.445
2025-08-08 16:00:00,1754668808.0,0.445
2025-08-08 17:00:00,1754672412.0,0.445
2025-08-08 18:00:00,1754676013.0,0.445
2025-08-08 19:00:00,1754679615.0,0.445
2025-08-08 20:00:00,1754683206.0,0.29
2025-08-08 21:00:00,1754686814.0,0.305
2025-08-08 22:00:00,1754690408.0,0.315
2025-08-08 23:00:00,1754694014.0,0.305
2025-08-09 00:00:00,1754697607.0,0.305
2025-08-09 01:00:00,1754701202.0,0.295
2025-08-09 02:00:00,1754704815.0,0.295
2025-08-09 03:00:00,1754708412.0,0.295
2025-08-09 04:00:00,1754712014.0,0.295
2025-08-09 05:00:00,1754715609.0,0.295
2025-08-09 06:00:00,1754719216.0,0.295
2025-08-09 07:00:00,1754722810.0,0.295
2025-08-09 08:00:00,1754726405.0,0.295
2025-08-09 09:00:00,1754730005.0,0.295
2025-08-09 10:00:00,1754733605.0,0.355
2025-08-09 11:00:00,1754737215.0,0.34
2025-08-09 12:00:00,1754740816.0,0.345
2025-08-09 13:00:00,1754744406.0,0.335
2025-08-09 14:00:00,1754748014.0,0.325
2025-08-09 15:00:00,1754751608.0,0.325
2025-08-09 16:00:00,1754755206.0,0.325
2025-08-09 17:00:00,1754758809.0,0.33
2025-08-09 18:00:00,1754762412.0,0.335
2025-08-09 19:00:00,1754766011.0,0.335
2025-08-09 20:00:00,1754769605.0,0.335
2025-08-09 21:00:00,1754773213.0,0.38
2025-08-09 22:00:00,1754776805.0,0.385
2025-08-09 23:00:00,1754780404.0,0.405
2025-08-10 00:00:00,1754784005.0,0.4
2025-08-10 01:00:00,1754787605.0,0.395
2025-08-10 02:00:00,1754791209.0,0.385
2025-08-10 03:00:00,1754794815.0,0.385
2025-08-10 04:00:00,1754798414.0,0.385
2025-08-10 05:00:00,1754802012.0,0.385
2025-08-10 06:00:00,1754805603.0,0.385
2025-08-10 07:00:00,1754809213.0,0.385
2025-08-10 08:00:00,1754812811.0,0.385
2025-08-10 09:00:00,1754816419.0,0.385
2025-08-10 10:00:00,1754820015.0,0.385
2025-08-10 11:00:00,1754823602.0,0.385
2025-08-10 12:00:00,1754827222.0,0.375
2025-08-10 13:00:00,1754830807.0,0.375
2025-08-10 14:00:00,1754834411.0,0.375
2025-08-10 15:00:00,1754838006.0,0.375
2025-08-10 16:00:00,1754841608.0,0.405
2025-08-10 17:00:00,1754845209.0,0.405
2025-08-10 18:00:00,1754848815.0,0.405
2025-08-10 19:00:00,1754852411.0,0.405
2025-08-10 20:00:00,1754856007.0,0.425
2025-08-10 21:00:00,1754859605.0,0.415
2025-08-10 22:00:00,1754863212.0,0.415
2025-08-10 23:00:00,1754866815.0,0.415
2025-08-11 00:00:00,1754870406.0,0.415
2025-08-11 01:00:00,1754874009.0,0.415
2025-08-11 02:00:00,1754877610.0,0.415
2025-08-11 03:00:00,1754881210.0,0.415
2025-08-11 04:00:00,1754884809.0,0.415
2025-08-11 05:00:00,1754888415.0,0.415
2025-08-11 06:00:00,1754892004.0,0.415
2025-08-11 07:00:00,1754895615.0,0.415
2025-08-11 08:00:00,1754899209.0,0.415
2025-08-11 09:00:00,1754902820.0,0.415
2025-08-11 10:00:00,1754906408.0,0.415
2025-08-11 11:00:00,1754910009.0,0.415
2025-08-11 12:00:00,1754913604.0,0.415
2025-08-11 13:00:00,1754917205.0,0.415
2025-08-11 14:00:00,1754920815.0,0.415
2025-08-11 15:00:00,1754924417.0,0.415
2025-08-11 16:00:00,1754928004.0,0.415
2025-08-11 17:00:00,1754931610.0,0.415
2025-08-11 18:00:00,1754935214.0,0.415
2025-08-11 19:00:00,1754938809.0,0.425
2025-08-11 20:00:00,1754942410.0,0.42
2025-08-11 21:00:00,1754946013.0,0.415
2025-08-11 22:00:00,1754949609.0,0.395
2025-08-11 23:00:00,1754953213.0,0.385
2025-08-12 00:00:00,1754956807.0,0.375
2025-08-12 01:00:00,1754960407.0,0.35
2025-08-12 02:00:00,1754964005.0,0.37
2025-08-12 03:00:00,1754967613.0,0.375
2025-08-12 04:00:00,1754971202.0,0.375
2025-08-12 05:00:00,1754974803.0,0.375
2025-08-12 06:00:00,1754978403.0,0.375
2025-08-12 07:00:00,1754982002.0,0.375
2025-08-12 08:00:00,1754985610.0,0.375
2025-08-12 09:00:00,1754989214.0,0.375
2025-08-12 10:00:00,1754992812.0,0.375
2025-08-12 11:00:00,1754996414.0,0.375
2025-08-12 12:00:00,1755000007.0,0.375
2025-08-12 13:00:00,1755003606.0,0.325
2025-08-12 14:00:00,1755007205.0,0.325
2025-08-12 15:00:00,1755010805.0,0.29
2025-08-12 16:00:00,1755014409.0,0.26
2025-08-12 17:00:00,1755018006.0,0.355
2026-02-01 04:00:00,1769921118.0,0.0015
2025-08-12 18:00:00,1755021609.0,0.365
2025-08-12 19:00:00,1755025207.0,0.365
2025-08-12 20:00:00,1755028804.0,0.365
2025-08-12 21:00:00,1755032410.0,0.34
2025-08-12 22:00:00,1755036007.0,0.345
2025-08-12 23:00:00,1755039615.0,0.34
2025-08-13 00:00:00,1755043214.0,0.34
2025-08-13 01:00:00,1755046809.0,0.34
2025-08-13 02:00:00,1755050409.0,0.34
2025-08-13 03:00:00,1755054009.0,0.34
2025-08-13 04:00:00,1755057609.0,0.345
2025-08-13 05:00:00,1755061208.0,0.355
2025-08-13 06:00:00,1755064803.0,0.375
2025-08-13 07:00:00,1755068405.0,0.375
2025-08-13 08:00:00,1755072011.0,0.375
2025-08-13 09:00:00,1755075606.0,0.375
2025-08-13 10:00:00,1755079210.0,0.375
2025-08-13 11:00:00,1755082812.0,0.375
2025-08-13 12:00:00,1755086409.0,0.365
2025-08-13 13:00:00,1755090025.0,0.345
2025-08-13 14:00:00,1755093613.0,0.345
2025-08-13 15:00:00,1755097202.0,0.345
2025-08-13 16:00:00,1755100815.0,0.33
2025-08-13 17:00:00,1755104412.0,0.31
2025-08-13 18:00:00,1755108002.0,0.325
2025-08-13 19:00:00,1755111604.0,0.32
2025-08-13 20:00:00,1755115209.0,0.32
2025-08-13 21:00:00,1755118808.0,0.325
2025-08-13 22:00:00,1755122408.0,0.325
2025-08-13 23:00:00,1755126013.0,0.325
2025-08-14 00:00:00,1755129603.0,0.325
2025-08-14 01:00:00,1755133207.0,0.325
2025-08-14 02:00:00,1755136809.0,0.325
2025-08-14 03:00:00,1755140409.0,0.325
2025-08-14 04:00:00,1755144012.0,0.325
2025-08-14 05:00:00,1755147607.0,0.32
2025-08-14 06:00:00,1755151206.0,0.32
2025-08-14 07:00:00,1755154804.0,0.32
2025-08-14 08:00:00,1755158413.0,0.325
2025-08-14 09:00:00,1755162007.0,0.32
2025-08-14 10:00:00,1755165604.0,0.325
2025-08-14 11:00:00,1755169203.0,0.32
2025-08-14 12:00:00,1755172811.0,0.32
2025-08-14 13:00:00,1755176413.0,0.325
2025-08-14 14:00:00,1755180009.0,0.325
2025-08-14 15:00:00,1755183612.0,0.325
2025-08-14 16:00:00,1755187215.0,0.325
2025-08-14 17:00:00,1755190816.0,0.325
2025-08-14 18:00:00,1755194415.0,0.325
2025-08-14 19:00:00,1755198009.0,0.325
2025-08-14 20:00:00,1755201604.0,0.325
2025-08-14 21:00:00,1755205213.0,0.325
2025-08-14 22:00:00,1755208804.0,0.325
2025-08-14 23:00:00,1755212410.0,0.325
2025-08-15 00:00:00,1755216003.0,0.285
2025-08-15 01:00:00,1755219605.0,0.325
2025-08-15 02:00:00,1755223206.0,0.325
2025-08-15 03:00:00,1755226810.0,0.325
2025-08-15 04:00:00,1755230406.0,0.325
2025-08-15 05:00:00,1755234005.0,0.325
2025-08-15 06:00:00,1755237608.0,0.305
2025-08-15 07:00:00,1755241205.0,0.305
2025-08-15 08:00:00,1755244814.0,0.305
2025-08-15 09:00:00,1755248408.0,0.305
2025-08-15 10:00:00,1755252013.0,0.315
2025-08-15 11:00:00,1755255611.0,0.315
2025-08-15 12:00:00,1755259203.0,0.315
2025-08-15 13:00:00,1755262809.0,0.315
2025-08-15 14:00:00,1755266411.0,0.315
2025-08-15 15:00:00,1755270017.0,0.315
2025-08-15 16:00:00,1755273610.0,0.315
2025-08-15 17:00:00,1755277205.0,0.315
2025-08-15 18:00:00,1755280810.0,0.315
2025-08-15 19:00:00,1755284408.0,0.305
2025-08-15 20:00:00,1755288007.0,0.3
2025-08-15 21:00:00,1755291614.0,0.3
2025-08-15 22:00:00,1755295217.0,0.3
2025-08-15 23:00:00,1755298806.0,0.3
2025-08-16 00:00:00,1755302407.0,0.295
2025-08-16 01:00:00,1755306005.0,0.295
2025-08-16 02:00:00,1755309604.0,0.295
2025-08-16 03:00:00,1755313208.0,0.295
2025-08-16 04:00:00,1755316815.0,0.295
2025-08-16 05:00:00,1755320416.0,0.305
2025-08-16 06:00:00,1755324008.0,0.305
2025-08-16 07:00:00,1755327605.0,0.305
2025-08-16 08:00:00,1755331208.0,0.305
2025-08-16 09:00:00,1755334814.0,0.305
2025-08-16 10:00:00,1755338416.0,0.305
2025-08-16 11:00:00,1755342005.0,0.305
2025-08-16 12:00:00,1755345607.0,0.305
2025-08-16 13:00:00,1755349203.0,0.305
2025-08-16 14:00:00,1755352810.0,0.315
2025-08-16 15:00:00,1755356409.0,0.305
2025-08-16 16:00:00,1755360013.0,0.31
2025-08-16 17:00:00,1755363604.0,0.31
2025-08-16 18:00:00,1755367205.0,0.305
2025-08-16 19:00:00,1755370812.0,0.305
2025-08-16 20:00:00,1755374414.0,0.305
2025-08-16 21:00:00,1755378007.0,0.31
2025-08-16 22:00:00,1755381604.0,0.31
2025-08-16 23:00:00,1755385212.0,0.315
2025-08-17 00:00:00,1755388805.0,0.315
2025-08-17 01:00:00,1755392403.0,0.305
2025-08-17 02:00:00,1755396012.0,0.325
2025-08-17 03:00:00,1755399617.0,0.325
2025-08-17 04:00:00,1755403214.0,0.325
2025-08-17 05:00:00,1755406806.0,0.325
2025-08-17 06:00:00,1755410414.0,0.32
2025-08-17 07:00:00,1755414012.0,0.32
2025-08-17 08:00:00,1755417605.0,0.33
2025-08-17 09:00:00,1755421207.0,0.325
2025-08-17 10:00:00,1755424804.0,0.325
2025-08-17 11:00:00,1755428410.0,0.335
2025-08-17 12:00:00,1755432006.0,0.335
2025-08-17 13:00:00,1755435609.0,0.325
2025-08-17 14:00:00,1755439214.0,0.325
2025-08-17 15:00:00,1755442815.0,0.33
2025-08-17 16:00:00,1755446407.0,0.335
2025-08-17 17:00:00,1755450004.0,0.335
2025-08-17 18:00:00,1755453612.0,0.335
2025-08-17 19:00:00,1755457213.0,0.335
2025-08-17 20:00:00,1755460813.0,0.335
2025-08-17 21:00:00,1755464405.0,0.335
2025-08-17 22:00:00,1755468004.0,0.335
2025-08-17 23:00:00,1755471609.0,0.33
2025-08-18 00:00:00,1755475206.0,0.33
2025-08-18 01:00:00,1755478802.0,0.33
2025-08-18 02:00:00,1755482411.0,0.335
2025-08-18 03:00:00,1755486015.0,0.335
2025-08-18 04:00:00,1755489606.0,0.335
2025-08-18 05:00:00,1755493212.0,0.34
2025-08-18 06:00:00,1755496807.0,0.345
2025-08-18 07:00:00,1755500406.0,0.365
2025-08-18 08:00:00,1755504006.0,0.355
2025-08-18 09:00:00,1755507617.0,0.36
2025-08-18 10:00:00,1755511210.0,0.36
2025-08-18 11:00:00,1755514811.0,0.36
2025-08-18 12:00:00,1755518418.0,0.355
2025-08-18 13:00:00,1755522011.0,0.365
2025-08-18 14:00:00,1755525612.0,0.365
2025-08-18 15:00:00,1755529216.0,0.345
2025-08-18 16:00:00,1755532806.0,0.345
2025-08-18 17:00:00,1755536402.0,0.345
2025-08-18 18:00:00,1755540017.0,0.35
2025-08-18 19:00:00,1755543615.0,0.35
2025-08-18 20:00:00,1755547202.0,0.35
2025-08-18 21:00:00,1755550819.0,0.35
2025-08-18 22:00:00,1755554416.0,0.35
2025-08-18 23:00:00,1755558015.0,0.35
2025-08-19 00:00:00,1755561611.0,0.35
2025-08-19 01:00:00,1755565206.0,0.345
2025-08-19 02:00:00,1755568816.0,0.345
2025-08-19 03:00:00,1755572405.0,0.345
2025-08-19 04:00:00,1755576008.0,0.345
2025-08-19 05:00:00,1755579610.0,0.345
2025-08-19 06:00:00,1755583214.0,0.345
2025-08-19 07:00:00,1755586807.0,0.345
2025-08-19 08:00:00,1755590402.0,0.345
2025-08-19 09:00:00,1755594021.0,0.345
2025-08-19 10:00:00,1755597610.0,0.345
2025-08-19 11:00:00,1755601217.0,0.345
2025-08-19 12:00:00,1755604811.0,0.345
2025-08-19 13:00:00,1755608409.0,0.345
2025-08-19 14:00:00,1755612016.0,0.345
2025-08-19 15:00:00,1755615615.0,0.345
2025-08-19 16:00:00,1755619209.0,0.335
2025-08-19 17:00:00,1755622815.0,0.335
2025-08-19 18:00:00,1755626413.0,0.325
2025-08-19 19:00:00,1755630011.0,0.295
2025-08-19 20:00:00,1755633604.0,0.29
2025-08-19 21:00:00,1755637208.0,0.295
2025-08-19 22:00:00,1755640811.0,0.3
2025-08-19 23:00:00,1755644414.0,0.3
2025-08-20 00:00:00,1755648004.0,0.3
2025-08-20 01:00:00,1755651605.0,0.295
2025-08-20 02:00:00,1755655211.0,0.295
2025-08-20 03:00:00,1755658812.0,0.3
2025-08-20 04:00:00,1755662412.0,0.32
2025-08-20 05:00:00,1755666007.0,0.325
2025-08-20 06:00:00,1755669606.0,0.32
2025-08-20 07:00:00,1755673203.0,0.315
2025-08-20 08:00:00,1755676804.0,0.325
2025-08-20 09:00:00,1755680414.0,0.325
2025-08-20 10:00:00,1755684006.0,0.31
2025-08-20 11:00:00,1755687607.0,0.315
2025-08-20 12:00:00,1755691204.0,0.32
2025-08-20 13:00:00,1755694805.0,0.32
2025-08-20 14:00:00,1755698407.0,0.32
2025-08-20 15:00:00,1755702016.0,0.33
2025-08-20 16:00:00,1755705615.0,0.33
2025-08-20 17:00:00,1755709205.0,0.33
2025-08-20 18:00:00,1755712806.0,0.33
2025-08-20 19:00:00,1755716407.0,0.33
2025-08-20 20:00:00,1755720007.0,0.325
2025-08-20 21:00:00,1755723617.0,0.325
