time_utc,t,p
2025-08-05 17:00:00,1754415789.0,0.5
2025-08-05 18:00:00,1754416808.0,0.485
2025-08-05 19:00:00,1754420409.0,0.35
2025-08-05 20:00:00,1754424009.0,0.03
2025-08-05 21:00:00,1754427610.0,0.03
2025-08-05 22:00:00,1754431209.0,0.03
2025-08-05 23:00:00,1754434808.0,0.026
2025-08-06 00:00:00,1754438409.0,0.026
2025-08-06 01:00:00,1754442009.0,0.026
2025-08-06 02:00:00,1754445610.0,0.026
2025-08-06 03:00:00,1754449209.0,0.0215
2025-08-06 04:00:00,1754452810.0,0.021
2025-08-06 05:00:00,1754456410.0,0.025
2025-08-06 06:00:00,1754460009.0,0.0255
2025-08-06 07:00:00,1754463609.0,0.0285
2025-08-06 08:00:00,1754467209.0,0.028
2025-08-06 09:00:00,1754470809.0,0.0285
2025-08-06 10:00:00,1754474409.0,0.029
2025-08-06 11:00:00,1754478009.0,0.029
2025-08-06 12:00:00,1754481608.0,0.029
2025-08-06 13:00:00,1754485209.0,0.0285
2025-08-06 14:00:00,1754488809.0,0.029
2025-08-06 15:00:00,1754492410.0,0.029
2025-08-06 16:00:00,1754496009.0,0.0285
2025-08-06 17:00:00,1754499608.0,0.029
2025-08-06 18:00:00,1754503209.0,0.028
2025-08-06 19:00:00,1754506806.0,0.028
2025-08-06 20:00:00,1754510403.0,0.0285
2025-08-06 21:00:00,1754514005.0,0.027
2025-08-06 22:00:00,1754517613.0,0.0215
2025-08-06 23:00:00,1754521212.0,0.02
2025-08-07 00:00:00,1754524805.0,0.018
2025-08-07 01:00:00,1754528403.0,0.0175
2025-08-07 02:00:00,1754532002.0,0.0175
2025-08-07 03:00:00,1754535605.0,0.017
2025-08-07 04:00:00,1754539211.0,0.0175
2025-08-07 05:00:00,1754542811.0,0.0175
2025-08-07 06:00:00,1754546409.0,0.0165
2025-08-07 07:00:00,1754550012.0,0.0175
2025-08-07 08:00:00,1754553612.0,0.016
2025-08-07 09:00:00,1754557223.0,0.018
2025-08-07 10:00:00,1754560808.0,0.018
2025-08-07 11:00:00,1754564412.0,0.018
2025-08-07 12:00:00,1754568013.0,0.018
2025-08-07 13:00:00,1754571603.0,0.018
2025-08-07 14:00:00,1754575213.0,0.018
2025-08-07 15:00:00,1754578815.0,0.006
2025-08-07 16:00:00,1754582406.0,0.0055
2025-08-07 17:00:00,1754586012.0,0.0055
2025-08-07 18:00:00,1754589608.0,0.006
2025-08-07 19:00:00,1754593205.0,0.0065
2025-08-07 20:00:00,1754596804.0,0.0065
2025-08-07 21:00:00,1754600413.0,0.0065
2025-08-07 22:00:00,1754604007.0,0.006
2025-08-07 23:00:00,1754607603.0,0.006
2025-08-08 00:00:00,1754611205.0,0.006
2025-08-08 01:00:00,1754614805.0,0.006
2025-08-08 02:00:00,1754618411.0,0.0055
2025-08-08 03:00:00,1754622003.0,0.0055
2025-08-08 04:00:00,1754625616.0,0.0055
2025-08-08 05:00:00,1754629202.0,0.0055
2025-08-08 06:00:00,1754632813.0,0.0055
2025-08-08 07:00:00,1754636413.0,0.0055
2025-08-08 08:00:00,1754640010.0,0.0055
2025-08-08 09:00:00,1754643618.0,0.0055
2025-08-08 10:00:00,1754647210.0,0.0055
2025-08-08 11:00:00,1754650813.0,0.0055
2025-08-08 12:00:00,1754654420.0,0.0055
2025-08-08 13:00:00,1754658013.0,0.006
2025-08-08 14:00:00,1754661603.0,0.006
2025-08-08 15:00:00,1754665212.0,0.006
2025-08-08 16:00:00,1754668808.0,0.006
2025-08-08 17:00:00,1754672411.0,0.006
2025-08-08 18:00:00,1754676013.0,0.0065
2025-08-08 19:00:00,1754679614.0,0.006
2025-08-08 20:00:00,1754683205.0,0.006
2025-08-08 21:00:00,1754686814.0,0.006
2025-08-08 22:00:00,1754690408.0,0.006
2025-08-08 23:00:00,1754694014.0,0.006
2025-08-09 00:00:00,1754697605.0,0.006
2025-08-09 01:00:00,1754701202.0,0.0165
2025-08-09 02:00:00,1754704815.0,0.014
2025-08-09 03:00:00,1754708412.0,0.014
2025-08-09 04:00:00,1754712014.0,0.0135
2025-08-09 05:00:00,1754715609.0,0.0135
2025-08-09 06:00:00,1754719216.0,0.013
2025-08-09 07:00:00,1754722808.0,0.014
2025-08-09 08:00:00,1754726403.0,0.014
2025-08-09 09:00:00,1754730016.0,0.0135
2025-08-09 10:00:00,1754733612.0,0.0145
2025-08-09 11:00:00,1754737207.0,0.0145
2025-08-09 12:00:00,1754740805.0,0.014
2025-08-09 13:00:00,1754744413.0,0.014
2025-08-09 14:00:00,1754748007.0,0.0135
2025-08-09 15:00:00,1754751616.0,0.0145
2025-08-09 16:00:00,1754755214.0,0.0145
2025-08-09 17:00:00,1754758817.0,0.014
2025-08-09 18:00:00,1754762404.0,0.014
2025-08-09 19:00:00,1754766002.0,0.0145
2025-08-09 20:00:00,1754769613.0,0.0145
2025-08-09 21:00:00,1754773204.0,0.013
2025-08-09 22:00:00,1754776813.0,0.0135
2025-08-09 23:00:00,1754780406.0,0.0135
2025-08-10 00:00:00,1754784009.0,0.0135
2025-08-10 01:00:00,1754787609.0,0.013
2025-08-10 02:00:00,1754791203.0,0.013
2025-08-10 03:00:00,1754794808.0,0.013
2025-08-10 04:00:00,1754798407.0,0.0125
2025-08-10 05:00:00,1754802005.0,0.013
2025-08-10 06:00:00,1754805612.0,0.013
2025-08-10 07:00:00,1754809206.0,0.013
2025-08-10 08:00:00,1754812805.0,0.013
2025-08-10 09:00:00,1754816416.0,0.0125
2025-08-10 10:00:00,1754820014.0,0.013
2025-08-10 11:00:00,1754823615.0,0.013
2025-08-10 12:00:00,1754827221.0,0.013
2025-08-10 13:00:00,1754830806.0,0.013
2025-08-10 14:00:00,1754834408.0,0.0125
2025-08-10 15:00:00,1754838005.0,0.013
2025-08-10 16:00:00,1754841607.0,0.013
2025-08-10 17:00:00,1754845207.0,0.013
2025-08-10 18:00:00,1754848812.0,0.013
2025-08-10 19:00:00,1754852410.0,0.013
2025-08-10 20:00:00,1754856005.0,0.013
2025-08-10 21:00:00,1754859603.0,0.013
2025-08-10 22:00:00,1754863210.0,0.013
2025-08-10 23:00:00,1754866814.0,0.013
2025-08-11 00:00:00,1754870403.0,0.013
