time_utc,t,p
2025-08-05 17:00:00,1754415789.0,0.505
2025-08-05 18:00:00,1754416808.0,0.49
2025-08-05 19:00:00,1754420409.0,0.355
2025-08-05 20:00:00,1754424009.0,0.03
2025-08-05 21:00:00,1754427610.0,0.025
2025-08-05 22:00:00,1754431209.0,0.025
2025-08-05 23:00:00,1754434808.0,0.0205
2025-08-06 00:00:00,1754438409.0,0.0205
2025-08-06 01:00:00,1754442009.0,0.0205
2025-08-06 02:00:00,1754445610.0,0.02
2025-08-06 03:00:00,1754449209.0,0.02
2025-08-06 04:00:00,1754452810.0,0.02
2025-08-06 05:00:00,1754456410.0,0.0205
2025-08-06 06:00:00,1754460009.0,0.0205
2025-08-06 07:00:00,1754463609.0,0.0205
2025-08-06 08:00:00,1754467209.0,0.02
2025-08-06 09:00:00,1754470809.0,0.02
2025-08-06 10:00:00,1754474409.0,0.0205
2025-08-06 11:00:00,1754478009.0,0.0205
2025-08-06 12:00:00,1754481608.0,0.0205
2025-08-06 13:00:00,1754485209.0,0.02
2025-08-06 14:00:00,1754488809.0,0.0205
2025-08-06 15:00:00,1754492410.0,0.0205
2025-08-06 16:00:00,1754496009.0,0.0205
2025-08-06 17:00:00,1754499608.0,0.0205
2025-08-06 18:00:00,1754503209.0,0.0185
2025-08-06 19:00:00,1754506806.0,0.0185
2025-08-06 20:00:00,1754510414.0,0.0185
2025-08-06 21:00:00,1754514002.0,0.018
2025-08-06 22:00:00,1754517610.0,0.0055
2025-08-06 23:00:00,1754521209.0,0.009
2025-08-07 00:00:00,1754524803.0,0.009
2025-08-07 01:00:00,1754528410.0,0.009
2025-08-07 02:00:00,1754532013.0,0.009
2025-08-07 03:00:00,1754535605.0,0.0085
2025-08-07 04:00:00,1754539209.0,0.009
2025-08-07 05:00:00,1754542810.0,0.009
2025-08-07 06:00:00,1754546408.0,0.009
2025-08-07 07:00:00,1754550010.0,0.009
2025-08-07 08:00:00,1754553611.0,0.0095
2025-08-07 09:00:00,1754557213.0,0.0095
2025-08-07 10:00:00,1754560802.0,0.01
2025-08-07 11:00:00,1754564406.0,0.01
2025-08-07 12:00:00,1754568005.0,0.0105
2025-08-07 13:00:00,1754571610.0,0.01
2025-08-07 14:00:00,1754575206.0,0.0105
2025-08-07 15:00:00,1754578809.0,0.006
2025-08-07 16:00:00,1754582414.0,0.006
2025-08-07 17:00:00,1754586005.0,0.006
2025-08-07 18:00:00,1754589616.0,0.006
2025-08-07 19:00:00,1754593215.0,0.0065
2025-08-07 20:00:00,1754596812.0,0.0065
2025-08-07 21:00:00,1754600405.0,0.0065
2025-08-07 22:00:00,1754604015.0,0.0065
2025-08-07 23:00:00,1754607611.0,0.0065
2025-08-08 00:00:00,1754611210.0,0.0065
2025-08-08 01:00:00,1754614809.0,0.0065
2025-08-08 02:00:00,1754618407.0,0.0065
2025-08-08 03:00:00,1754622007.0,0.0065
2025-08-08 04:00:00,1754625616.0,0.0065
2025-08-08 05:00:00,1754629202.0,0.0065
2025-08-08 06:00:00,1754632813.0,0.0065
2025-08-08 07:00:00,1754636413.0,0.0065
2025-08-08 08:00:00,1754640010.0,0.0065
2025-08-08 09:00:00,1754643613.0,0.0065
2025-08-08 10:00:00,1754647206.0,0.0065
2025-08-08 11:00:00,1754650809.0,0.0065
2025-08-08 12:00:00,1754654415.0,0.0065
2025-08-08 13:00:00,1754658009.0,0.0065
2025-08-08 14:00:00,1754661613.0,0.0065
2025-08-08 15:00:00,1754665208.0,0.0065
2025-08-08 16:00:00,1754668804.0,0.0065
2025-08-08 17:00:00,1754672406.0,0.006
2025-08-08 18:00:00,1754676009.0,0.006
2025-08-08 19:00:00,1754679610.0,0.006
2025-08-08 20:00:00,1754683216.0,0.0055
2025-08-08 21:00:00,1754686809.0,0.0055
2025-08-08 22:00:00,1754690404.0,0.0055
2025-08-08 23:00:00,1754694010.0,0.0055
2025-08-09 00:00:00,1754697615.0,0.0055
2025-08-09 01:00:00,1754701211.0,0.0055
2025-08-09 02:00:00,1754704812.0,0.0055
2025-08-09 03:00:00,1754708408.0,0.0055
2025-08-09 04:00:00,1754712010.0,0.0055
2025-08-09 05:00:00,1754715605.0,0.0055
2025-08-09 06:00:00,1754719212.0,0.0055
2025-08-09 07:00:00,1754722804.0,0.0055
2025-08-09 08:00:00,1754726414.0,0.0055
2025-08-09 09:00:00,1754730012.0,0.0055
2025-08-09 10:00:00,1754733611.0,0.0055
2025-08-09 11:00:00,1754737206.0,0.0055
2025-08-09 12:00:00,1754740803.0,0.0055
2025-08-09 13:00:00,1754744411.0,0.006
2025-08-09 14:00:00,1754748005.0,0.006
2025-08-09 15:00:00,1754751615.0,0.006
2025-08-09 16:00:00,1754755213.0,0.006
2025-08-09 17:00:00,1754758814.0,0.006
2025-08-09 18:00:00,1754762402.0,0.006
2025-08-09 19:00:00,1754766016.0,0.006
2025-08-09 20:00:00,1754769610.0,0.006
2025-08-09 21:00:00,1754773202.0,0.006
2025-08-09 22:00:00,1754776812.0,0.006
2025-08-09 23:00:00,1754780405.0,0.006
2025-08-10 00:00:00,1754784007.0,0.006
2025-08-10 01:00:00,1754787609.0,0.006
2025-08-10 02:00:00,1754791212.0,0.006
2025-08-10 03:00:00,1754794806.0,0.006
2025-08-10 04:00:00,1754798406.0,0.006
2025-08-10 05:00:00,1754802004.0,0.0055
2025-08-10 06:00:00,1754805610.0,0.0055
2025-08-10 07:00:00,1754809204.0,0.0055
2025-08-10 08:00:00,1754812804.0,0.0055
2025-08-10 09:00:00,1754816409.0,0.0055
2025-08-10 10:00:00,1754820007.0,0.0055
2025-08-10 11:00:00,1754823610.0,0.0055
2025-08-10 12:00:00,1754827213.0,0.0055
2025-08-10 13:00:00,1754830813.0,0.0055
2025-08-10 14:00:00,1754834402.0,0.0055
2025-08-10 15:00:00,1754838013.0,0.0055
2025-08-10 16:00:00,1754841614.0,0.0055
2025-08-10 17:00:00,1754845202.0,0.0055
2025-08-10 18:00:00,1754848806.0,0.0055
2025-08-10 19:00:00,1754852403.0,0.0055
2025-08-10 20:00:00,1754856013.0,0.0055
2025-08-10 21:00:00,1754859614.0,0.0055
2025-08-10 22:00:00,1754863204.0,0.0055
2025-08-10 23:00:00,1754866807.0,0.0055
2025-08-11 00:00:00,1754870412.0,0.0055
2025-08-11 01:00:00,1754874004.0,0.0055
2025-08-11 02:00:00,1754877602.0,0.0055
2025-08-11 03:00:00,1754881202.0,0.0055
2025-08-11 04:00:00,1754884816.0,0.0055
2025-08-11 05:00:00,1754888408.0,0.0055
2025-08-11 06:00:00,1754892012.0,0.0055
2025-08-11 07:00:00,1754895602.0,0.0055
2025-08-11 08:00:00,1754899216.0,0.0055
2025-08-11 09:00:00,1754902816.0,0.0055
2025-08-11 10:00:00,1754906405.0,0.0055
2025-08-11 11:00:00,1754910007.0,0.0055
2025-08-11 12:00:00,1754913617.0,0.0055
2025-08-11 13:00:00,1754917217.0,0.006
2025-08-11 14:00:00,1754920811.0,0.006
2025-08-11 15:00:00,1754924413.0,0.006
2025-08-11 16:00:00,1754928004.0,0.006
2025-08-11 17:00:00,1754931606.0,0.006
2025-08-11 18:00:00,1754935211.0,0.006
2025-08-11 19:00:00,1754938805.0,0.006
2025-08-11 20:00:00,1754942406.0,0.006
2025-08-11 21:00:00,1754946010.0,0.006
2025-08-11 22:00:00,1754949606.0,0.006
2025-08-11 23:00:00,1754953209.0,0.006
2025-08-12 00:00:00,1754956806.0,0.006
2025-08-12 01:00:00,1754960406.0,0.006
2025-08-12 02:00:00,1754964003.0,0.006
2025-08-12 03:00:00,1754967610.0,0.006
2025-08-12 04:00:00,1754971212.0,0.006
2025-08-12 05:00:00,1754974811.0,0.006
2025-08-12 06:00:00,1754978415.0,0.006
2025-08-12 07:00:00,1754982012.0,0.006
2025-08-12 08:00:00,1754985607.0,0.006
2025-08-12 09:00:00,1754989213.0,0.006
2025-08-12 10:00:00,1754992811.0,0.006
2025-08-12 11:00:00,1754996412.0,0.006
2025-08-12 12:00:00,1755000005.0,0.006
2025-08-12 13:00:00,1755003604.0,0.006
2025-08-12 14:00:00,1755007204.0,0.006
2025-08-12 15:00:00,1755010802.0,0.006
2025-08-12 16:00:00,1755014407.0,0.006
2025-08-12 17:00:00,1755018004.0,0.006
2026-02-01 04:00:00,1769921233.0,0.0005
2025-08-12 18:00:00,1755021604.0,0.006
2025-08-12 19:00:00,1755025215.0,0.006
2025-08-12 20:00:00,1755028811.0,0.006
2025-08-12 21:00:00,1755032404.0,0.006
2025-08-12 22:00:00,1755036002.0,0.006
2025-08-12 23:00:00,1755039610.0,0.006
2025-08-13 00:00:00,1755043210.0,0.006
2025-08-13 01:00:00,1755046807.0,0.006
2025-08-13 02:00:00,1755050406.0,0.006
2025-08-13 03:00:00,1755054005.0,0.006
2025-08-13 04:00:00,1755057610.0,0.006
2025-08-13 05:00:00,1755061209.0,0.006
2025-08-13 06:00:00,1755064805.0,0.0055
2025-08-13 07:00:00,1755068406.0,0.0055
2025-08-13 08:00:00,1755072012.0,0.0055
2025-08-13 09:00:00,1755075604.0,0.0055
2025-08-13 10:00:00,1755079209.0,0.0055
2025-08-13 11:00:00,1755082811.0,0.0055
2025-08-13 12:00:00,1755086408.0,0.0055
2025-08-13 13:00:00,1755090024.0,0.0055
2025-08-13 14:00:00,1755093612.0,0.0055
2025-08-13 15:00:00,1755097215.0,0.0055
2025-08-13 16:00:00,1755100814.0,0.0055
2025-08-13 17:00:00,1755104409.0,0.0055
2025-08-13 18:00:00,1755108015.0,0.0055
2025-08-13 19:00:00,1755111602.0,0.0055
2025-08-13 20:00:00,1755115207.0,0.0055
2025-08-13 21:00:00,1755118807.0,0.0055
2025-08-13 22:00:00,1755122407.0,0.0055
2025-08-13 23:00:00,1755126011.0,0.005
2025-08-14 00:00:00,1755129602.0,0.005
2025-08-14 01:00:00,1755133207.0,0.005
2025-08-14 02:00:00,1755136808.0,0.005
2025-08-14 03:00:00,1755140408.0,0.005
2025-08-14 04:00:00,1755144011.0,0.005
2025-08-14 05:00:00,1755147606.0,0.005
2025-08-14 06:00:00,1755151205.0,0.005
2025-08-14 07:00:00,1755154802.0,0.005
2025-08-14 08:00:00,1755158412.0,0.005
2025-08-14 09:00:00,1755162007.0,0.005
2025-08-14 10:00:00,1755165606.0,0.005
2025-08-14 11:00:00,1755169205.0,0.005
2025-08-14 12:00:00,1755172811.0,0.005
2025-08-14 13:00:00,1755176413.0,0.005
2025-08-14 14:00:00,1755180009.0,0.005
2025-08-14 15:00:00,1755183612.0,0.005
2025-08-14 16:00:00,1755187215.0,0.005
2025-08-14 17:00:00,1755190818.0,0.005
2025-08-14 18:00:00,1755194416.0,0.005
2025-08-14 19:00:00,1755198009.0,0.005
2025-08-14 20:00:00,1755201604.0,0.005
2025-08-14 21:00:00,1755205213.0,0.005
2025-08-14 22:00:00,1755208805.0,0.005
2025-08-14 23:00:00,1755212410.0,0.005
2025-08-15 00:00:00,1755216005.0,0.005
2025-08-15 01:00:00,1755219605.0,0.005
2025-08-15 02:00:00,1755223206.0,0.005
2025-08-15 03:00:00,1755226810.0,0.005
2025-08-15 04:00:00,1755230406.0,0.005
2025-08-15 05:00:00,1755234007.0,0.005
2025-08-15 06:00:00,1755237608.0,0.005
2025-08-15 07:00:00,1755241205.0,0.005
2025-08-15 08:00:00,1755244814.0,0.005
2025-08-15 09:00:00,1755248411.0,0.005
2025-08-15 10:00:00,1755252017.0,0.005
2025-08-15 11:00:00,1755255614.0,0.005
2025-08-15 12:00:00,1755259206.0,0.005
2025-08-15 13:00:00,1755262812.0,0.005
2025-08-15 14:00:00,1755266413.0,0.005
2025-08-15 15:00:00,1755270005.0,0.0045
2025-08-15 16:00:00,1755273613.0,0.005
2025-08-15 17:00:00,1755277209.0,0.005
2025-08-15 18:00:00,1755280813.0,0.0045
2025-08-15 19:00:00,1755284411.0,0.005
2025-08-15 20:00:00,1755288010.0,0.0045
2025-08-15 21:00:00,1755291618.0,0.0045
2025-08-15 22:00:00,1755295203.0,0.0045
2025-08-15 23:00:00,1755298809.0,0.0045
2025-08-16 00:00:00,1755302408.0,0.0045
2025-08-16 01:00:00,1755306006.0,0.0045
2025-08-16 02:00:00,1755309607.0,0.0045
2025-08-16 03:00:00,1755313212.0,0.0045
2025-08-16 04:00:00,1755316803.0,0.0045
2025-08-16 05:00:00,1755320403.0,0.0045
2025-08-16 06:00:00,1755324011.0,0.0045
2025-08-16 07:00:00,1755327608.0,0.0045
2025-08-16 08:00:00,1755331211.0,0.0045
2025-08-16 09:00:00,1755334817.0,0.0045
2025-08-16 10:00:00,1755338403.0,0.0045
2025-08-16 11:00:00,1755342008.0,0.0045
2025-08-16 12:00:00,1755345608.0,0.0045
2025-08-16 13:00:00,1755349206.0,0.0045
2025-08-16 14:00:00,1755352813.0,0.0035
2025-08-16 15:00:00,1755356411.0,0.0025
2025-08-16 16:00:00,1755360015.0,0.0025
2025-08-16 17:00:00,1755363605.0,0.0025
2025-08-16 18:00:00,1755367207.0,0.0035
2025-08-16 19:00:00,1755370815.0,0.0035
2025-08-16 20:00:00,1755374417.0,0.0035
2025-08-16 21:00:00,1755378008.0,0.0035
2025-08-16 22:00:00,1755381607.0,0.0035
2025-08-16 23:00:00,1755385213.0,0.0035
2025-08-17 00:00:00,1755388808.0,0.0035
2025-08-17 01:00:00,1755392404.0,0.0035
2025-08-17 02:00:00,1755396014.0,0.0035
2025-08-17 03:00:00,1755399604.0,0.0035
2025-08-17 04:00:00,1755403215.0,0.0035
2025-08-17 05:00:00,1755406809.0,0.0035
2025-08-17 06:00:00,1755410415.0,0.0035
2025-08-17 07:00:00,1755414014.0,0.0035
2025-08-17 08:00:00,1755417606.0,0.0035
2025-08-17 09:00:00,1755421221.0,0.0035
2025-08-17 10:00:00,1755424814.0,0.0035
2025-08-17 11:00:00,1755428403.0,0.0035
2025-08-17 12:00:00,1755432016.0,0.0035
2025-08-17 13:00:00,1755435602.0,0.0035
2025-08-17 14:00:00,1755439208.0,0.0035
2025-08-17 15:00:00,1755442809.0,0.0035
2025-08-17 16:00:00,1755446402.0,0.0035
2025-08-17 17:00:00,1755450014.0,0.0035
2025-08-17 18:00:00,1755453606.0,0.004
2025-08-17 19:00:00,1755457208.0,0.004
2025-08-17 20:00:00,1755460806.0,0.004
2025-08-17 21:00:00,1755464416.0,0.004
2025-08-17 22:00:00,1755468013.0,0.004
2025-08-17 23:00:00,1755471602.0,0.004
2025-08-18 00:00:00,1755475203.0,0.004
2025-08-18 01:00:00,1755478808.0,0.004
2025-08-18 02:00:00,1755482408.0,0.004
2025-08-18 03:00:00,1755486010.0,0.004
2025-08-18 04:00:00,1755489614.0,0.004
2025-08-18 05:00:00,1755493206.0,0.004
2025-08-18 06:00:00,1755496816.0,0.004
2025-08-18 07:00:00,1755500414.0,0.004
2025-08-18 08:00:00,1755504001.0,0.004
2025-08-18 09:00:00,1755507609.0,0.004
2025-08-18 10:00:00,1755511203.0,0.004
2025-08-18 11:00:00,1755514805.0,0.004
2025-08-18 12:00:00,1755518412.0,0.004
2025-08-18 13:00:00,1755522005.0,0.004
2025-08-18 14:00:00,1755525606.0,0.004
2025-08-18 15:00:00,1755529209.0,0.004
2025-08-18 16:00:00,1755532814.0,0.004
2025-08-18 17:00:00,1755536412.0,0.004
2025-08-18 18:00:00,1755540011.0,0.004
2025-08-18 19:00:00,1755543608.0,0.004
2025-08-18 20:00:00,1755547212.0,0.004
2025-08-18 21:00:00,1755550812.0,0.004
2025-08-18 22:00:00,1755554410.0,0.004
2025-08-18 23:00:00,1755558009.0,0.004
2025-08-19 00:00:00,1755561605.0,0.004
2025-08-19 01:00:00,1755565213.0,0.004
2025-08-19 02:00:00,1755568810.0,0.004
2025-08-19 03:00:00,1755572415.0,0.004
