time_utc,t,p
2025-08-15 16:00:00,1755275822,0.5
2025-08-15 17:00:00,1755277218,0.5
2025-08-15 18:00:00,1755280806,0.145
2025-08-15 19:00:00,1755284404,0.15
2025-08-15 20:00:00,1755288003,0.075
2025-08-15 21:00:00,1755291609,0.06
2025-08-15 22:00:00,1755295213,0.035
2025-08-15 23:00:00,1755298803,0.014
2025-08-16 00:00:00,1755302404,0.012
2025-08-16 01:00:00,1755306002,0.0115
2025-08-16 02:00:00,1755309613,0.0105
2025-08-16 03:00:00,1755313204,0.0105
2025-08-16 04:00:00,1755316812,0.0105
2025-08-16 05:00:00,1755320412,0.0105
2025-08-16 06:00:00,1755324004,0.0105
2025-08-16 07:00:00,1755327617,0.0105
2025-08-16 08:00:00,1755331204,0.0105
2025-08-16 09:00:00,1755334817,0.0105
2025-08-16 10:00:00,1755338403,0.0105
2025-08-16 11:00:00,1755342008,0.0105
2025-08-16 12:00:00,1755345610,0.0105
2025-08-16 13:00:00,1755349206,0.0105
2025-08-16 14:00:00,1755352813,0.0105
2025-08-16 15:00:00,1755356412,0.0705
2025-08-16 16:00:00,1755360015,0.0685
2025-08-16 17:00:00,1755363606,0.07
2025-08-16 18:00:00,1755367208,0.07
2025-08-16 19:00:00,1755370815,0.07
2025-08-16 20:00:00,1755374417,0.07
2025-08-16 21:00:00,1755378009,0.0645
2025-08-16 22:00:00,1755381607,0.0645
2025-08-16 23:00:00,1755385213,0.0645
2025-08-17 00:00:00,1755388808,0.0645
2025-08-17 01:00:00,1755392405,0.0645
2025-08-17 02:00:00,1755396002,0.0645
2025-08-17 03:00:00,1755399604,0.065
2025-08-17 04:00:00,1755403216,0.065
2025-08-17 05:00:00,1755406809,0.0645
2025-08-17 06:00:00,1755410416,0.064
2025-08-17 07:00:00,1755414015,0.0615
2025-08-17 08:00:00,1755417607,0.062
2025-08-17 09:00:00,1755421207,0.064
2025-08-17 10:00:00,1755424804,0.0615
2025-08-17 11:00:00,1755428409,0.0645
2025-08-17 12:00:00,1755432006,0.0625
2025-08-17 13:00:00,1755435608,0.0495
2025-08-17 14:00:00,1755439213,0.0485
2025-08-17 15:00:00,1755442815,0.043
2025-08-17 16:00:00,1755446407,0.04
2025-08-17 17:00:00,1755450004,0.044
2025-08-17 18:00:00,1755453612,0.0435
2025-08-17 19:00:00,1755457213,0.0435
2025-08-17 20:00:00,1755460813,0.0425
2025-08-17 21:00:00,1755464405,0.041
2025-08-17 22:00:00,1755468002,0.0395
2025-08-17 23:00:00,1755471607,0.0345
2025-08-18 00:00:00,1755475206,0.0345
2025-08-18 01:00:00,1755478802,0.0345
2025-08-18 02:00:00,1755482411,0.0345
2025-08-18 03:00:00,1755486015,0.035
2025-08-18 04:00:00,1755489605,0.04
2025-08-18 05:00:00,1755493211,0.039
2025-08-18 06:00:00,1755496807,0.039
2025-08-18 07:00:00,1755500405,0.038
2025-08-18 08:00:00,1755504005,0.039
2025-08-18 09:00:00,1755507605,0.039
2025-08-18 10:00:00,1755511202,0.039
2025-08-18 11:00:00,1755514804,0.039
2025-08-18 12:00:00,1755518409,0.039
2025-08-18 13:00:00,1755522004,0.039
2025-08-18 14:00:00,1755525603,0.039
2025-08-18 15:00:00,1755529208,0.039
2025-08-18 16:00:00,1755532813,0.039
2025-08-18 17:00:00,1755536409,0.0345
2025-08-18 18:00:00,1755540008,0.049
2025-08-18 19:00:00,1755543605,0.039
2025-08-18 20:00:00,1755547209,0.049
2025-08-18 21:00:00,1755550809,0.0375
2025-08-18 22:00:00,1755554407,0.0385
2025-08-18 23:00:00,1755558006,0.039
2025-08-19 00:00:00,1755561602,0.0355
2025-08-19 01:00:00,1755565211,0.035
2025-08-19 02:00:00,1755568808,0.034
2025-08-19 03:00:00,1755572412,0.0355
2025-08-19 04:00:00,1755576015,0.0355
2025-08-19 05:00:00,1755579617,0.033
2025-08-19 06:00:00,1755583203,0.035
2025-08-19 07:00:00,1755586814,0.036
2025-08-19 08:00:00,1755590409,0.033
2025-08-19 09:00:00,1755594017,0.033
2025-08-19 10:00:00,1755597608,0.034
2025-08-19 11:00:00,1755601214,0.0315
