time_utc,t,p
2026-02-01 04:00:00,1769921610.0,0.0005
2025-08-13 18:00:00,1755108662.0,0.5
2025-08-13 19:00:00,1755111604.0,0.5
2025-08-13 20:00:00,1755115208.0,0.5
2025-08-13 21:00:00,1755118808.0,0.245
2025-08-13 22:00:00,1755122408.0,0.235
2025-08-13 23:00:00,1755126013.0,0.0205
2025-08-14 00:00:00,1755129603.0,0.0145
2025-08-14 01:00:00,1755133207.0,0.014
2025-08-14 02:00:00,1755136809.0,0.014
2025-08-14 03:00:00,1755140409.0,0.0365
2025-08-14 04:00:00,1755144012.0,0.039
2025-08-14 05:00:00,1755147607.0,0.007
2025-08-14 06:00:00,1755151206.0,0.0155
2025-08-14 07:00:00,1755154804.0,0.012
2025-08-14 08:00:00,1755158413.0,0.013
2025-08-14 09:00:00,1755162016.0,0.0125
2025-08-14 10:00:00,1755165611.0,0.012
2025-08-14 11:00:00,1755169211.0,0.0125
2025-08-14 12:00:00,1755172804.0,0.012
2025-08-14 13:00:00,1755176407.0,0.011
2025-08-14 14:00:00,1755180002.0,0.014
2025-08-14 15:00:00,1755183605.0,0.013
2025-08-14 16:00:00,1755187209.0,0.012
2025-08-14 17:00:00,1755190810.0,0.014
2025-08-14 18:00:00,1755194408.0,0.013
2025-08-14 19:00:00,1755198017.0,0.014
2025-08-14 20:00:00,1755201611.0,0.013
2025-08-14 21:00:00,1755205204.0,0.0135
2025-08-14 22:00:00,1755208811.0,0.012
2025-08-14 23:00:00,1755212403.0,0.014
2025-08-15 00:00:00,1755216011.0,0.012
2025-08-15 01:00:00,1755219611.0,0.013
2025-08-15 02:00:00,1755223213.0,0.013
2025-08-15 03:00:00,1755226803.0,0.013
2025-08-15 04:00:00,1755230414.0,0.011
2025-08-15 05:00:00,1755234014.0,0.011
2025-08-15 06:00:00,1755237616.0,0.0105
2025-08-15 07:00:00,1755241214.0,0.0075
2025-08-15 08:00:00,1755244806.0,0.0095
2025-08-15 09:00:00,1755248412.0,0.008
2025-08-15 10:00:00,1755252002.0,0.008
2025-08-15 11:00:00,1755255615.0,0.007
2025-08-15 12:00:00,1755259208.0,0.008
2025-08-15 13:00:00,1755262813.0,0.008
2025-08-15 14:00:00,1755266415.0,0.008
2025-08-15 15:00:00,1755270006.0,0.007
2025-08-15 16:00:00,1755273614.0,0.0075
2025-08-15 17:00:00,1755277210.0,0.007
2025-08-15 18:00:00,1755280814.0,0.006
2025-08-15 19:00:00,1755284413.0,0.006
2025-08-15 20:00:00,1755288011.0,0.006
2025-08-15 21:00:00,1755291602.0,0.006
2025-08-15 22:00:00,1755295205.0,0.008
