time_utc,t,p
2025-08-05 17:00:00,1754415850.0,0.45
2025-08-05 18:00:00,1754416808.0,0.245
2025-08-05 19:00:00,1754420409.0,0.145
2025-08-05 20:00:00,1754424009.0,0.0225
2025-08-05 21:00:00,1754427610.0,0.023
2025-08-05 22:00:00,1754431209.0,0.0225
2025-08-05 23:00:00,1754434808.0,0.0185
2025-08-06 00:00:00,1754438409.0,0.0185
2025-08-06 01:00:00,1754442009.0,0.0185
2025-08-06 02:00:00,1754445610.0,0.0175
2025-08-06 03:00:00,1754449209.0,0.0135
2025-08-06 04:00:00,1754452810.0,0.0135
2025-08-06 05:00:00,1754456410.0,0.013
2025-08-06 06:00:00,1754460009.0,0.013
2025-08-06 07:00:00,1754463609.0,0.017
2025-08-06 08:00:00,1754467209.0,0.0165
2025-08-06 09:00:00,1754470809.0,0.0165
2025-08-06 10:00:00,1754474409.0,0.017
2025-08-06 11:00:00,1754478009.0,0.017
2025-08-06 12:00:00,1754481608.0,0.017
2025-08-06 13:00:00,1754485209.0,0.0165
2025-08-06 14:00:00,1754488809.0,0.017
2025-08-06 15:00:00,1754492410.0,0.017
2025-08-06 16:00:00,1754496009.0,0.017
2025-08-06 17:00:00,1754499608.0,0.017
2025-08-06 18:00:00,1754503209.0,0.015
2025-08-06 19:00:00,1754506806.0,0.015
2025-08-06 20:00:00,1754510414.0,0.015
2025-08-06 21:00:00,1754514002.0,0.013
2025-08-06 22:00:00,1754517610.0,0.0055
2025-08-06 23:00:00,1754521209.0,0.0055
2025-08-07 00:00:00,1754524802.0,0.0055
2025-08-07 01:00:00,1754528410.0,0.0055
2025-08-07 02:00:00,1754532013.0,0.0055
2025-08-07 03:00:00,1754535604.0,0.0055
2025-08-07 04:00:00,1754539208.0,0.0055
2025-08-07 05:00:00,1754542810.0,0.0055
2025-08-07 06:00:00,1754546408.0,0.0055
2025-08-07 07:00:00,1754550010.0,0.0055
2025-08-07 08:00:00,1754553611.0,0.0055
2025-08-07 09:00:00,1754557208.0,0.0055
2025-08-07 10:00:00,1754560813.0,0.0055
2025-08-07 11:00:00,1754564403.0,0.0055
2025-08-07 12:00:00,1754568004.0,0.0055
2025-08-07 13:00:00,1754571608.0,0.0055
2025-08-07 14:00:00,1754575203.0,0.0055
2025-08-07 15:00:00,1754578806.0,0.0055
2025-08-07 16:00:00,1754582411.0,0.0055
2025-08-07 17:00:00,1754586002.0,0.0055
2025-08-07 18:00:00,1754589613.0,0.0125
2025-08-07 19:00:00,1754593212.0,0.0135
2025-08-07 20:00:00,1754596809.0,0.0135
2025-08-07 21:00:00,1754600402.0,0.0135
2025-08-07 22:00:00,1754604013.0,0.0125
2025-08-07 23:00:00,1754607610.0,0.0115
2025-08-08 00:00:00,1754611209.0,0.0115
2025-08-08 01:00:00,1754614809.0,0.0125
2025-08-08 02:00:00,1754618405.0,0.012
2025-08-08 03:00:00,1754622007.0,0.0115
2025-08-08 04:00:00,1754625607.0,0.011
2025-08-08 05:00:00,1754629207.0,0.0115
2025-08-08 06:00:00,1754632805.0,0.0115
2025-08-08 07:00:00,1754636402.0,0.011
2025-08-08 08:00:00,1754640014.0,0.011
2025-08-08 09:00:00,1754643609.0,0.0105
2025-08-08 10:00:00,1754647202.0,0.012
2025-08-08 11:00:00,1754650805.0,0.011
2025-08-08 12:00:00,1754654411.0,0.013
2025-08-08 13:00:00,1754658006.0,0.012
2025-08-08 14:00:00,1754661610.0,0.012
2025-08-08 15:00:00,1754665203.0,0.013
2025-08-08 16:00:00,1754668814.0,0.014
2025-08-08 17:00:00,1754672402.0,0.012
2025-08-08 18:00:00,1754676003.0,0.0115
2025-08-08 19:00:00,1754679605.0,0.0125
2025-08-08 20:00:00,1754683212.0,0.014
2025-08-08 21:00:00,1754686805.0,0.0135
2025-08-08 22:00:00,1754690415.0,0.013
2025-08-08 23:00:00,1754694006.0,0.013
2025-08-09 00:00:00,1754697612.0,0.0125
2025-08-09 01:00:00,1754701209.0,0.0135
2025-08-09 02:00:00,1754704809.0,0.01
2025-08-09 03:00:00,1754708404.0,0.0095
2025-08-09 04:00:00,1754712005.0,0.0095
2025-08-09 05:00:00,1754715616.0,0.0095
2025-08-09 06:00:00,1754719208.0,0.0095
2025-08-09 07:00:00,1754722816.0,0.0095
2025-08-09 08:00:00,1754726411.0,0.0095
2025-08-09 09:00:00,1754730009.0,0.009
2025-08-09 10:00:00,1754733609.0,0.0095
2025-08-09 11:00:00,1754737202.0,0.0095
2025-08-09 12:00:00,1754740820.0,0.0095
2025-08-09 13:00:00,1754744408.0,0.0095
2025-08-09 14:00:00,1754748002.0,0.009
2025-08-09 15:00:00,1754751611.0,0.0095
2025-08-09 16:00:00,1754755209.0,0.0095
2025-08-09 17:00:00,1754758812.0,0.0095
2025-08-09 18:00:00,1754762415.0,0.0095
2025-08-09 19:00:00,1754766013.0,0.0095
2025-08-09 20:00:00,1754769608.0,0.0095
2025-08-09 21:00:00,1754773216.0,0.008
2025-08-09 22:00:00,1754776808.0,0.0085
2025-08-09 23:00:00,1754780405.0,0.0085
2025-08-10 00:00:00,1754784006.0,0.0085
2025-08-10 01:00:00,1754787607.0,0.0085
2025-08-10 02:00:00,1754791211.0,0.0085
2025-08-10 03:00:00,1754794804.0,0.0085
2025-08-10 04:00:00,1754798403.0,0.0085
2025-08-10 05:00:00,1754802014.0,0.0085
2025-08-10 06:00:00,1754805608.0,0.0085
2025-08-10 07:00:00,1754809216.0,0.0085
2025-08-10 08:00:00,1754812815.0,0.0085
2025-08-10 09:00:00,1754816421.0,0.008
2025-08-10 10:00:00,1754820003.0,0.0085
2025-08-10 11:00:00,1754823605.0,0.0085
2025-08-10 12:00:00,1754827205.0,0.0085
2025-08-10 13:00:00,1754830810.0,0.0085
2025-08-10 14:00:00,1754834412.0,0.008
2025-08-10 15:00:00,1754838009.0,0.0085
2025-08-10 16:00:00,1754841610.0,0.008
2025-08-10 17:00:00,1754845212.0,0.0085
2025-08-10 18:00:00,1754848816.0,0.0085
2025-08-10 19:00:00,1754852414.0,0.0085
2025-08-10 20:00:00,1754856009.0,0.0085
2025-08-10 21:00:00,1754859608.0,0.007
2025-08-10 22:00:00,1754863214.0,0.007
2025-08-10 23:00:00,1754866803.0,0.007
2025-08-11 00:00:00,1754870407.0,0.007
2025-08-11 01:00:00,1754874011.0,0.007
2025-08-11 02:00:00,1754877611.0,0.007
2025-08-11 03:00:00,1754881213.0,0.007
2025-08-11 04:00:00,1754884812.0,0.007
2025-08-11 05:00:00,1754888403.0,0.007
2025-08-11 06:00:00,1754892007.0,0.007
2025-08-11 07:00:00,1754895617.0,0.007
2025-08-11 08:00:00,1754899212.0,0.007
2025-08-11 09:00:00,1754902818.0,0.007
2025-08-11 10:00:00,1754906407.0,0.007
2025-08-11 11:00:00,1754910008.0,0.007
2025-08-11 12:00:00,1754913602.0,0.007
2025-08-11 13:00:00,1754917202.0,0.007
2025-08-11 14:00:00,1754920814.0,0.007
2025-08-11 15:00:00,1754924415.0,0.007
2025-08-11 16:00:00,1754928004.0,0.007
2025-08-11 17:00:00,1754931608.0,0.007
2025-08-11 18:00:00,1754935212.0,0.007
2025-08-11 19:00:00,1754938806.0,0.007
2025-08-11 20:00:00,1754942408.0,0.007
2025-08-11 21:00:00,1754946012.0,0.007
2025-08-11 22:00:00,1754949607.0,0.007
2025-08-11 23:00:00,1754953210.0,0.007
2025-08-12 00:00:00,1754956806.0,0.007
2025-08-12 01:00:00,1754960406.0,0.007
2025-08-12 02:00:00,1754964004.0,0.007
2025-08-12 03:00:00,1754967612.0,0.007
2025-08-12 04:00:00,1754971213.0,0.007
2025-08-12 05:00:00,1754974812.0,0.007
2025-08-12 06:00:00,1754978416.0,0.007
2025-08-12 07:00:00,1754982013.0,0.007
2025-08-12 08:00:00,1754985609.0,0.007
2025-08-12 09:00:00,1754989213.0,0.007
2025-08-12 10:00:00,1754992811.0,0.007
2025-08-12 11:00:00,1754996412.0,0.007
2025-08-12 12:00:00,1755000005.0,0.007
2025-08-12 13:00:00,1755003604.0,0.007
2025-08-12 14:00:00,1755007204.0,0.007
2025-08-12 15:00:00,1755010802.0,0.007
2025-08-12 16:00:00,1755014407.0,0.007
2025-08-12 17:00:00,1755018005.0,0.007
2026-02-01 04:00:00,1769921296.0,0.0015
2025-08-12 18:00:00,1755021616.0,0.007
2025-08-12 19:00:00,1755025212.0,0.0065
2025-08-12 20:00:00,1755028809.0,0.0065
2025-08-12 21:00:00,1755032416.0,0.007
2025-08-12 22:00:00,1755036013.0,0.007
2025-08-12 23:00:00,1755039606.0,0.006
2025-08-13 00:00:00,1755043205.0,0.006
2025-08-13 01:00:00,1755046802.0,0.006
2025-08-13 02:00:00,1755050413.0,0.006
2025-08-13 03:00:00,1755054014.0,0.006
2025-08-13 04:00:00,1755057613.0,0.006
2025-08-13 05:00:00,1755061211.0,0.006
2025-08-13 06:00:00,1755064808.0,0.006
2025-08-13 07:00:00,1755068409.0,0.006
2025-08-13 08:00:00,1755072003.0,0.006
2025-08-13 09:00:00,1755075614.0,0.006
2025-08-13 10:00:00,1755079203.0,0.006
2025-08-13 11:00:00,1755082805.0,0.006
2025-08-13 12:00:00,1755086415.0,0.006
2025-08-13 13:00:00,1755090018.0,0.006
2025-08-13 14:00:00,1755093606.0,0.006
2025-08-13 15:00:00,1755097208.0,0.006
2025-08-13 16:00:00,1755100807.0,0.006
2025-08-13 17:00:00,1755104402.0,0.006
2025-08-13 18:00:00,1755108009.0,0.006
2025-08-13 19:00:00,1755111610.0,0.006
2025-08-13 20:00:00,1755115213.0,0.006
2025-08-13 21:00:00,1755118815.0,0.006
2025-08-13 22:00:00,1755122414.0,0.006
2025-08-13 23:00:00,1755126006.0,0.006
2025-08-14 00:00:00,1755129606.0,0.006
2025-08-14 01:00:00,1755133204.0,0.006
2025-08-14 02:00:00,1755136804.0,0.006
2025-08-14 03:00:00,1755140415.0,0.006
2025-08-14 04:00:00,1755144004.0,0.006
2025-08-14 05:00:00,1755147612.0,0.006
2025-08-14 06:00:00,1755151203.0,0.006
2025-08-14 07:00:00,1755154811.0,0.006
2025-08-14 08:00:00,1755158406.0,0.006
2025-08-14 09:00:00,1755162011.0,0.006
2025-08-14 10:00:00,1755165609.0,0.006
2025-08-14 11:00:00,1755169209.0,0.006
2025-08-14 12:00:00,1755172817.0,0.006
2025-08-14 13:00:00,1755176405.0,0.006
2025-08-14 14:00:00,1755180014.0,0.006
2025-08-14 15:00:00,1755183617.0,0.006
2025-08-14 16:00:00,1755187205.0,0.006
2025-08-14 17:00:00,1755190807.0,0.006
2025-08-14 18:00:00,1755194405.0,0.006
2025-08-14 19:00:00,1755198013.0,0.006
2025-08-14 20:00:00,1755201609.0,0.006
2025-08-14 21:00:00,1755205217.0,0.006
2025-08-14 22:00:00,1755208808.0,0.0055
2025-08-14 23:00:00,1755212415.0,0.006
2025-08-15 00:00:00,1755216008.0,0.0055
2025-08-15 01:00:00,1755219609.0,0.006
2025-08-15 02:00:00,1755223211.0,0.006
2025-08-15 03:00:00,1755226816.0,0.006
2025-08-15 04:00:00,1755230412.0,0.006
2025-08-15 05:00:00,1755234010.0,0.006
2025-08-15 06:00:00,1755237612.0,0.006
2025-08-15 07:00:00,1755241211.0,0.006
2025-08-15 08:00:00,1755244804.0,0.006
2025-08-15 09:00:00,1755248403.0,0.006
2025-08-15 10:00:00,1755252010.0,0.0055
2025-08-15 11:00:00,1755255607.0,0.006
