time_utc,t,p
2025-08-05 17:00:00,1754415789.0,0.505
2025-08-05 18:00:00,1754416808.0,0.365
2025-08-05 19:00:00,1754420409.0,0.325
2025-08-05 20:00:00,1754424009.0,0.345
2025-08-05 21:00:00,1754427610.0,0.34
2025-08-05 22:00:00,1754431209.0,0.34
2025-08-05 23:00:00,1754434808.0,0.34
2025-08-06 00:00:00,1754438409.0,0.34
2025-08-06 01:00:00,1754442009.0,0.34
2025-08-06 02:00:00,1754445610.0,0.335
2025-08-06 03:00:00,1754449209.0,0.335
2025-08-06 04:00:00,1754452810.0,0.345
2025-08-06 05:00:00,1754456410.0,0.345
2025-08-06 06:00:00,1754460009.0,0.345
2025-08-06 07:00:00,1754463609.0,0.345
2025-08-06 08:00:00,1754467209.0,0.345
2025-08-06 09:00:00,1754470809.0,0.345
2025-08-06 10:00:00,1754474409.0,0.345
2025-08-06 11:00:00,1754478009.0,0.345
2025-08-06 12:00:00,1754481608.0,0.345
2025-08-06 13:00:00,1754485209.0,0.345
2025-08-06 14:00:00,1754488809.0,0.345
2025-08-06 15:00:00,1754492410.0,0.345
2025-08-06 16:00:00,1754496009.0,0.345
2025-08-06 17:00:00,1754499608.0,0.345
2025-08-06 18:00:00,1754503209.0,0.325
2025-08-06 19:00:00,1754506806.0,0.325
2025-08-06 20:00:00,1754510403.0,0.33
2025-08-06 21:00:00,1754514005.0,0.325
2025-08-06 22:00:00,1754517613.0,0.37
2025-08-06 23:00:00,1754521212.0,0.34
2025-08-07 00:00:00,1754524805.0,0.34
2025-08-07 01:00:00,1754528403.0,0.34
2025-08-07 02:00:00,1754532007.0,0.34
2025-08-07 03:00:00,1754535610.0,0.345
2025-08-07 04:00:00,1754539215.0,0.345
2025-08-07 05:00:00,1754542802.0,0.34
2025-08-07 06:00:00,1754546414.0,0.34
2025-08-07 07:00:00,1754550016.0,0.34
2025-08-07 08:00:00,1754553603.0,0.335
2025-08-07 09:00:00,1754557217.0,0.335
2025-08-07 10:00:00,1754560803.0,0.335
2025-08-07 11:00:00,1754564408.0,0.34
2025-08-07 12:00:00,1754568009.0,0.34
2025-08-07 13:00:00,1754571613.0,0.335
2025-08-07 14:00:00,1754575209.0,0.335
2025-08-07 15:00:00,1754578810.0,0.225
2025-08-07 16:00:00,1754582415.0,0.265
2025-08-07 17:00:00,1754586007.0,0.24
2025-08-07 18:00:00,1754589603.0,0.24
2025-08-07 19:00:00,1754593216.0,0.265
2025-08-07 20:00:00,1754596813.0,0.245
2025-08-07 21:00:00,1754600408.0,0.26
2025-08-07 22:00:00,1754604003.0,0.225
2025-08-07 23:00:00,1754607614.0,0.195
2025-08-08 00:00:00,1754611203.0,0.195
2025-08-08 01:00:00,1754614802.0,0.195
2025-08-08 02:00:00,1754618408.0,0.185
2025-08-08 03:00:00,1754622006.0,0.19
2025-08-08 04:00:00,1754625608.0,0.185
2025-08-08 05:00:00,1754629207.0,0.185
2025-08-08 06:00:00,1754632805.0,0.185
2025-08-08 07:00:00,1754636402.0,0.185
2025-08-08 08:00:00,1754640014.0,0.19
2025-08-08 09:00:00,1754643607.0,0.185
2025-08-08 10:00:00,1754647215.0,0.19
2025-08-08 11:00:00,1754650804.0,0.19
2025-08-08 12:00:00,1754654408.0,0.19
2025-08-08 13:00:00,1754658005.0,0.185
2025-08-08 14:00:00,1754661608.0,0.19
2025-08-08 15:00:00,1754665202.0,0.19
2025-08-08 16:00:00,1754668813.0,0.19
2025-08-08 17:00:00,1754672416.0,0.195
2025-08-08 18:00:00,1754676002.0,0.19
2025-08-08 19:00:00,1754679604.0,0.195
2025-08-08 20:00:00,1754683211.0,0.185
2025-08-08 21:00:00,1754686803.0,0.185
2025-08-08 22:00:00,1754690413.0,0.195
2025-08-08 23:00:00,1754694004.0,0.195
2025-08-09 00:00:00,1754697611.0,0.195
2025-08-09 01:00:00,1754701207.0,0.205
2025-08-09 02:00:00,1754704806.0,0.17
2025-08-09 03:00:00,1754708418.0,0.17
2025-08-09 04:00:00,1754712002.0,0.175
2025-08-09 05:00:00,1754715614.0,0.175
2025-08-09 06:00:00,1754719205.0,0.175
2025-08-09 07:00:00,1754722814.0,0.175
2025-08-09 08:00:00,1754726410.0,0.175
2025-08-09 09:00:00,1754730011.0,0.175
2025-08-09 10:00:00,1754733610.0,0.175
2025-08-09 11:00:00,1754737204.0,0.185
2025-08-09 12:00:00,1754740823.0,0.185
2025-08-09 13:00:00,1754744410.0,0.185
2025-08-09 14:00:00,1754748003.0,0.18
2025-08-09 15:00:00,1754751614.0,0.18
2025-08-09 16:00:00,1754755212.0,0.185
2025-08-09 17:00:00,1754758813.0,0.185
2025-08-09 18:00:00,1754762418.0,0.185
2025-08-09 19:00:00,1754766015.0,0.185
2025-08-09 20:00:00,1754769609.0,0.185
2025-08-09 21:00:00,1754773217.0,0.18
2025-08-09 22:00:00,1754776811.0,0.18
2025-08-09 23:00:00,1754780405.0,0.18
2025-08-10 00:00:00,1754784007.0,0.18
2025-08-10 01:00:00,1754787608.0,0.18
2025-08-10 02:00:00,1754791212.0,0.18
2025-08-10 03:00:00,1754794805.0,0.18
2025-08-10 04:00:00,1754798405.0,0.185
2025-08-10 05:00:00,1754802002.0,0.185
2025-08-10 06:00:00,1754805609.0,0.185
2025-08-10 07:00:00,1754809202.0,0.185
2025-08-10 08:00:00,1754812802.0,0.185
2025-08-10 09:00:00,1754816419.0,0.185
2025-08-10 10:00:00,1754820015.0,0.185
2025-08-10 11:00:00,1754823602.0,0.185
2025-08-10 12:00:00,1754827222.0,0.19
2025-08-10 13:00:00,1754830807.0,0.19
2025-08-10 14:00:00,1754834411.0,0.19
2025-08-10 15:00:00,1754838006.0,0.19
2025-08-10 16:00:00,1754841608.0,0.19
2025-08-10 17:00:00,1754845210.0,0.19
2025-08-10 18:00:00,1754848815.0,0.19
2025-08-10 19:00:00,1754852411.0,0.19
2025-08-10 20:00:00,1754856007.0,0.19
2025-08-10 21:00:00,1754859605.0,0.19
2025-08-10 22:00:00,1754863212.0,0.19
2025-08-10 23:00:00,1754866815.0,0.19
2025-08-11 00:00:00,1754870406.0,0.19
2025-08-11 01:00:00,1754874009.0,0.19
2025-08-11 02:00:00,1754877610.0,0.19
2025-08-11 03:00:00,1754881210.0,0.19
2025-08-11 04:00:00,1754884809.0,0.19
2025-08-11 05:00:00,1754888415.0,0.19
2025-08-11 06:00:00,1754892004.0,0.19
2025-08-11 07:00:00,1754895615.0,0.19
2025-08-11 08:00:00,1754899209.0,0.195
2025-08-11 09:00:00,1754902823.0,0.195
2025-08-11 10:00:00,1754906411.0,0.185
2025-08-11 11:00:00,1754910012.0,0.185
2025-08-11 12:00:00,1754913608.0,0.185
2025-08-11 13:00:00,1754917207.0,0.185
2025-08-11 14:00:00,1754920803.0,0.18
2025-08-11 15:00:00,1754924420.0,0.18
2025-08-11 16:00:00,1754928005.0,0.185
2025-08-11 17:00:00,1754931612.0,0.18
2025-08-11 18:00:00,1754935217.0,0.18
2025-08-11 19:00:00,1754938810.0,0.18
2025-08-11 20:00:00,1754942412.0,0.18
2025-08-11 21:00:00,1754946016.0,0.18
2025-08-11 22:00:00,1754949611.0,0.185
2025-08-11 23:00:00,1754953214.0,0.185
2025-08-12 00:00:00,1754956808.0,0.185
2025-08-12 01:00:00,1754960408.0,0.185
2025-08-12 02:00:00,1754964007.0,0.185
2025-08-12 03:00:00,1754967602.0,0.185
2025-08-12 04:00:00,1754971203.0,0.185
2025-08-12 05:00:00,1754974805.0,0.185
2025-08-12 06:00:00,1754978406.0,0.185
2025-08-12 07:00:00,1754982004.0,0.185
2025-08-12 08:00:00,1754985611.0,0.185
2025-08-12 09:00:00,1754989218.0,0.185
2025-08-12 10:00:00,1754992802.0,0.185
2025-08-12 11:00:00,1754996404.0,0.185
2025-08-12 12:00:00,1755000010.0,0.185
2025-08-12 13:00:00,1755003608.0,0.185
2025-08-12 14:00:00,1755007203.0,0.185
2025-08-12 15:00:00,1755010806.0,0.185
2025-08-12 16:00:00,1755014411.0,0.185
2025-08-12 17:00:00,1755018009.0,0.185
2026-02-01 04:00:00,1769921057.0,0.9795
2025-08-12 18:00:00,1755021608.0,0.185
2025-08-12 19:00:00,1755025204.0,0.185
2025-08-12 20:00:00,1755028815.0,0.185
2025-08-12 21:00:00,1755032407.0,0.185
2025-08-12 22:00:00,1755036006.0,0.18
2025-08-12 23:00:00,1755039612.0,0.175
2025-08-13 00:00:00,1755043205.0,0.175
2025-08-13 01:00:00,1755046802.0,0.175
2025-08-13 02:00:00,1755050413.0,0.175
2025-08-13 03:00:00,1755054014.0,0.175
2025-08-13 04:00:00,1755057609.0,0.175
2025-08-13 05:00:00,1755061208.0,0.175
2025-08-13 06:00:00,1755064803.0,0.175
2025-08-13 07:00:00,1755068406.0,0.175
2025-08-13 08:00:00,1755072012.0,0.175
2025-08-13 09:00:00,1755075610.0,0.175
2025-08-13 10:00:00,1755079213.0,0.175
2025-08-13 11:00:00,1755082802.0,0.175
2025-08-13 12:00:00,1755086412.0,0.175
2025-08-13 13:00:00,1755090015.0,0.175
2025-08-13 14:00:00,1755093603.0,0.175
2025-08-13 15:00:00,1755097205.0,0.175
2025-08-13 16:00:00,1755100805.0,0.175
2025-08-13 17:00:00,1755104414.0,0.185
2025-08-13 18:00:00,1755108006.0,0.18
2025-08-13 19:00:00,1755111608.0,0.17
2025-08-13 20:00:00,1755115211.0,0.17
2025-08-13 21:00:00,1755118812.0,0.17
2025-08-13 22:00:00,1755122412.0,0.17
2025-08-13 23:00:00,1755126003.0,0.165
2025-08-14 00:00:00,1755129605.0,0.17
2025-08-14 01:00:00,1755133202.0,0.17
2025-08-14 02:00:00,1755136801.0,0.17
2025-08-14 03:00:00,1755140412.0,0.17
2025-08-14 04:00:00,1755144015.0,0.17
2025-08-14 05:00:00,1755147610.0,0.17
2025-08-14 06:00:00,1755151202.0,0.17
2025-08-14 07:00:00,1755154808.0,0.17
2025-08-14 08:00:00,1755158404.0,0.17
2025-08-14 09:00:00,1755162011.0,0.175
2025-08-14 10:00:00,1755165608.0,0.175
2025-08-14 11:00:00,1755169207.0,0.17
2025-08-14 12:00:00,1755172816.0,0.17
2025-08-14 13:00:00,1755176404.0,0.175
2025-08-14 14:00:00,1755180012.0,0.165
2025-08-14 15:00:00,1755183616.0,0.165
2025-08-14 16:00:00,1755187205.0,0.165
2025-08-14 17:00:00,1755190805.0,0.165
2025-08-14 18:00:00,1755194404.0,0.165
2025-08-14 19:00:00,1755198013.0,0.165
2025-08-14 20:00:00,1755201607.0,0.165
2025-08-14 21:00:00,1755205217.0,0.165
2025-08-14 22:00:00,1755208808.0,0.145
2025-08-14 23:00:00,1755212414.0,0.145
2025-08-15 00:00:00,1755216007.0,0.145
2025-08-15 01:00:00,1755219608.0,0.145
2025-08-15 02:00:00,1755223210.0,0.145
2025-08-15 03:00:00,1755226814.0,0.145
2025-08-15 04:00:00,1755230410.0,0.145
2025-08-15 05:00:00,1755234010.0,0.145
2025-08-15 06:00:00,1755237612.0,0.145
2025-08-15 07:00:00,1755241210.0,0.145
2025-08-15 08:00:00,1755244802.0,0.145
2025-08-15 09:00:00,1755248408.0,0.145
2025-08-15 10:00:00,1755252014.0,0.145
2025-08-15 11:00:00,1755255611.0,0.145
2025-08-15 12:00:00,1755259203.0,0.145
2025-08-15 13:00:00,1755262809.0,0.145
2025-08-15 14:00:00,1755266411.0,0.145
2025-08-15 15:00:00,1755270002.0,0.145
2025-08-15 16:00:00,1755273610.0,0.145
2025-08-15 17:00:00,1755277206.0,0.145
2025-08-15 18:00:00,1755280810.0,0.145
2025-08-15 19:00:00,1755284408.0,0.145
2025-08-15 20:00:00,1755288007.0,0.145
2025-08-15 21:00:00,1755291615.0,0.145
2025-08-15 22:00:00,1755295217.0,0.145
2025-08-15 23:00:00,1755298807.0,0.145
2025-08-16 00:00:00,1755302407.0,0.145
2025-08-16 01:00:00,1755306005.0,0.145
2025-08-16 02:00:00,1755309604.0,0.145
2025-08-16 03:00:00,1755313209.0,0.145
2025-08-16 04:00:00,1755316816.0,0.145
2025-08-16 05:00:00,1755320416.0,0.145
2025-08-16 06:00:00,1755324008.0,0.145
2025-08-16 07:00:00,1755327605.0,0.145
2025-08-16 08:00:00,1755331208.0,0.145
2025-08-16 09:00:00,1755334810.0,0.145
2025-08-16 10:00:00,1755338412.0,0.155
2025-08-16 11:00:00,1755342017.0,0.155
2025-08-16 12:00:00,1755345619.0,0.155
2025-08-16 13:00:00,1755349214.0,0.155
2025-08-16 14:00:00,1755352806.0,0.135
2025-08-16 15:00:00,1755356404.0,0.135
2025-08-16 16:00:00,1755360009.0,0.125
2025-08-16 17:00:00,1755363615.0,0.125
2025-08-16 18:00:00,1755367216.0,0.125
2025-08-16 19:00:00,1755370808.0,0.125
2025-08-16 20:00:00,1755374410.0,0.125
2025-08-16 21:00:00,1755378018.0,0.125
2025-08-16 22:00:00,1755381616.0,0.125
2025-08-16 23:00:00,1755385206.0,0.125
2025-08-17 00:00:00,1755388816.0,0.125
2025-08-17 01:00:00,1755392410.0,0.125
2025-08-17 02:00:00,1755396009.0,0.115
2025-08-17 03:00:00,1755399612.0,0.115
2025-08-17 04:00:00,1755403210.0,0.115
2025-08-17 05:00:00,1755406802.0,0.115
2025-08-17 06:00:00,1755410408.0,0.115
2025-08-17 07:00:00,1755414008.0,0.115
2025-08-17 08:00:00,1755417615.0,0.115
2025-08-17 09:00:00,1755421209.0,0.115
2025-08-17 10:00:00,1755424806.0,0.115
2025-08-17 11:00:00,1755428411.0,0.115
2025-08-17 12:00:00,1755432007.0,0.115
2025-08-17 13:00:00,1755435609.0,0.12
2025-08-17 14:00:00,1755439214.0,0.115
2025-08-17 15:00:00,1755442816.0,0.115
2025-08-17 16:00:00,1755446408.0,0.115
2025-08-17 17:00:00,1755450005.0,0.115
2025-08-17 18:00:00,1755453614.0,0.115
2025-08-17 19:00:00,1755457214.0,0.115
2025-08-17 20:00:00,1755460814.0,0.12
2025-08-17 21:00:00,1755464407.0,0.125
2025-08-17 22:00:00,1755468005.0,0.12
2025-08-17 23:00:00,1755471609.0,0.12
2025-08-18 00:00:00,1755475207.0,0.125
2025-08-18 01:00:00,1755478803.0,0.125
2025-08-18 02:00:00,1755482412.0,0.125
2025-08-18 03:00:00,1755486002.0,0.125
2025-08-18 04:00:00,1755489606.0,0.125
2025-08-18 05:00:00,1755493212.0,0.125
2025-08-18 06:00:00,1755496808.0,0.13
2025-08-18 07:00:00,1755500408.0,0.13
2025-08-18 08:00:00,1755504008.0,0.13
2025-08-18 09:00:00,1755507622.0,0.13
2025-08-18 10:00:00,1755511214.0,0.13
2025-08-18 11:00:00,1755514815.0,0.13
2025-08-18 12:00:00,1755518406.0,0.13
2025-08-18 13:00:00,1755522015.0,0.13
2025-08-18 14:00:00,1755525615.0,0.135
2025-08-18 15:00:00,1755529205.0,0.125
2025-08-18 16:00:00,1755532810.0,0.13
2025-08-18 17:00:00,1755536406.0,0.135
2025-08-18 18:00:00,1755540005.0,0.125
2025-08-18 19:00:00,1755543602.0,0.13
2025-08-18 20:00:00,1755547206.0,0.125
2025-08-18 21:00:00,1755550806.0,0.135
2025-08-18 22:00:00,1755554405.0,0.125
2025-08-18 23:00:00,1755558004.0,0.135
