time_utc,t,p
2026-02-01 04:00:00,1769921534.0,0.0005
2025-08-13 14:00:00,1755097142.0,0.5
2025-08-13 15:00:00,1755097204.0,0.5
2025-08-13 16:00:00,1755100803.0,0.245
2025-08-13 17:00:00,1755104413.0,0.24
2025-08-13 18:00:00,1755108003.0,0.19
2025-08-13 19:00:00,1755111607.0,0.0275
2025-08-13 20:00:00,1755115210.0,0.016
2025-08-13 21:00:00,1755118811.0,0.0125
2025-08-13 22:00:00,1755122409.0,0.0125
2025-08-13 23:00:00,1755126014.0,0.011
2025-08-14 00:00:00,1755129604.0,0.011
2025-08-14 01:00:00,1755133207.0,0.011
2025-08-14 02:00:00,1755136809.0,0.011
2025-08-14 03:00:00,1755140411.0,0.011
2025-08-14 04:00:00,1755144013.0,0.011
2025-08-14 05:00:00,1755147609.0,0.0105
2025-08-14 06:00:00,1755151206.0,0.0105
2025-08-14 07:00:00,1755154805.0,0.0105
2025-08-14 08:00:00,1755158403.0,0.0105
2025-08-14 09:00:00,1755162017.0,0.0105
2025-08-14 10:00:00,1755165614.0,0.0125
2025-08-14 11:00:00,1755169213.0,0.013
2025-08-14 12:00:00,1755172805.0,0.0105
2025-08-14 13:00:00,1755176410.0,0.013
2025-08-14 14:00:00,1755180004.0,0.012
2025-08-14 15:00:00,1755183606.0,0.0115
2025-08-14 16:00:00,1755187210.0,0.0115
2025-08-14 17:00:00,1755190812.0,0.0115
2025-08-14 18:00:00,1755194411.0,0.0115
2025-08-14 19:00:00,1755198003.0,0.0115
2025-08-14 20:00:00,1755201614.0,0.0115
2025-08-14 21:00:00,1755205207.0,0.0115
2025-08-14 22:00:00,1755208813.0,0.0115
2025-08-14 23:00:00,1755212405.0,0.0115
2025-08-15 00:00:00,1755216013.0,0.0115
2025-08-15 01:00:00,1755219613.0,0.0115
2025-08-15 02:00:00,1755223202.0,0.0115
2025-08-15 03:00:00,1755226806.0,0.0115
2025-08-15 04:00:00,1755230402.0,0.0115
