time_utc,t,p
2025-08-05 17:00:00,1754415850.0,0.505
2025-08-05 18:00:00,1754416808.0,0.495
2025-08-05 19:00:00,1754420409.0,0.055
2025-08-05 20:00:00,1754424009.0,0.035
2025-08-05 21:00:00,1754427610.0,0.0355
2025-08-05 22:00:00,1754431209.0,0.035
2025-08-05 23:00:00,1754434808.0,0.025
2025-08-06 00:00:00,1754438409.0,0.023
2025-08-06 01:00:00,1754442009.0,0.023
2025-08-06 02:00:00,1754445610.0,0.024
2025-08-06 03:00:00,1754449209.0,0.0235
2025-08-06 04:00:00,1754452810.0,0.024
2025-08-06 05:00:00,1754456410.0,0.0235
2025-08-06 06:00:00,1754460009.0,0.024
2025-08-06 07:00:00,1754463609.0,0.024
2025-08-06 08:00:00,1754467209.0,0.024
2025-08-06 09:00:00,1754470809.0,0.024
2025-08-06 10:00:00,1754474409.0,0.0245
2025-08-06 11:00:00,1754478009.0,0.0245
2025-08-06 12:00:00,1754481608.0,0.0245
2025-08-06 13:00:00,1754485209.0,0.0245
2025-08-06 14:00:00,1754488809.0,0.0245
2025-08-06 15:00:00,1754492410.0,0.0245
2025-08-06 16:00:00,1754496009.0,0.024
2025-08-06 17:00:00,1754499608.0,0.0245
2025-08-06 18:00:00,1754503209.0,0.023
2025-08-06 19:00:00,1754506806.0,0.023
2025-08-06 20:00:00,1754510407.0,0.023
2025-08-06 21:00:00,1754514009.0,0.023
2025-08-06 22:00:00,1754517602.0,0.023
2025-08-06 23:00:00,1754521202.0,0.021
2025-08-07 00:00:00,1754524807.0,0.021
2025-08-07 01:00:00,1754528406.0,0.021
2025-08-07 02:00:00,1754532010.0,0.021
2025-08-07 03:00:00,1754535614.0,0.021
2025-08-07 04:00:00,1754539205.0,0.021
2025-08-07 05:00:00,1754542806.0,0.021
2025-08-07 06:00:00,1754546403.0,0.021
2025-08-07 07:00:00,1754550005.0,0.021
2025-08-07 08:00:00,1754553607.0,0.021
2025-08-07 09:00:00,1754557221.0,0.021
2025-08-07 10:00:00,1754560807.0,0.021
2025-08-07 11:00:00,1754564412.0,0.021
2025-08-07 12:00:00,1754568013.0,0.021
2025-08-07 13:00:00,1754571603.0,0.021
2025-08-07 14:00:00,1754575213.0,0.021
2025-08-07 15:00:00,1754578814.0,0.0165
2025-08-07 16:00:00,1754582404.0,0.016
2025-08-07 17:00:00,1754586011.0,0.016
2025-08-07 18:00:00,1754589608.0,0.016
2025-08-07 19:00:00,1754593205.0,0.016
2025-08-07 20:00:00,1754596802.0,0.016
2025-08-07 21:00:00,1754600413.0,0.016
2025-08-07 22:00:00,1754604006.0,0.016
2025-08-07 23:00:00,1754607603.0,0.016
2025-08-08 00:00:00,1754611205.0,0.016
2025-08-08 01:00:00,1754614805.0,0.016
2025-08-08 02:00:00,1754618411.0,0.016
2025-08-08 03:00:00,1754622002.0,0.016
2025-08-08 04:00:00,1754625612.0,0.016
2025-08-08 05:00:00,1754629211.0,0.016
2025-08-08 06:00:00,1754632809.0,0.016
2025-08-08 07:00:00,1754636408.0,0.016
2025-08-08 08:00:00,1754640006.0,0.016
2025-08-08 09:00:00,1754643602.0,0.016
2025-08-08 10:00:00,1754647211.0,0.016
2025-08-08 11:00:00,1754650814.0,0.016
2025-08-08 12:00:00,1754654402.0,0.016
2025-08-08 13:00:00,1754658014.0,0.016
2025-08-08 14:00:00,1754661605.0,0.016
2025-08-08 15:00:00,1754665213.0,0.016
2025-08-08 16:00:00,1754668809.0,0.016
2025-08-08 17:00:00,1754672413.0,0.016
2025-08-08 18:00:00,1754676014.0,0.016
2025-08-08 19:00:00,1754679616.0,0.016
2025-08-08 20:00:00,1754683207.0,0.016
2025-08-08 21:00:00,1754686816.0,0.016
2025-08-08 22:00:00,1754690409.0,0.016
2025-08-08 23:00:00,1754694015.0,0.016
2025-08-09 00:00:00,1754697608.0,0.016
2025-08-09 01:00:00,1754701204.0,0.016
2025-08-09 02:00:00,1754704803.0,0.0135
2025-08-09 03:00:00,1754708414.0,0.0135
2025-08-09 04:00:00,1754712015.0,0.0135
2025-08-09 05:00:00,1754715610.0,0.0135
2025-08-09 06:00:00,1754719218.0,0.014
2025-08-09 07:00:00,1754722811.0,0.015
2025-08-09 08:00:00,1754726406.0,0.015
2025-08-09 09:00:00,1754730009.0,0.014
2025-08-09 10:00:00,1754733609.0,0.015
2025-08-09 11:00:00,1754737202.0,0.015
2025-08-09 12:00:00,1754740820.0,0.015
2025-08-09 13:00:00,1754744408.0,0.015
2025-08-09 14:00:00,1754748002.0,0.015
2025-08-09 15:00:00,1754751611.0,0.015
2025-08-09 16:00:00,1754755209.0,0.015
2025-08-09 17:00:00,1754758812.0,0.015
2025-08-09 18:00:00,1754762415.0,0.015
2025-08-09 19:00:00,1754766013.0,0.015
2025-08-09 20:00:00,1754769608.0,0.015
2025-08-09 21:00:00,1754773216.0,0.012
2025-08-09 22:00:00,1754776808.0,0.0115
2025-08-09 23:00:00,1754780405.0,0.0115
2025-08-10 00:00:00,1754784006.0,0.0115
2025-08-10 01:00:00,1754787607.0,0.0115
2025-08-10 02:00:00,1754791211.0,0.0115
2025-08-10 03:00:00,1754794804.0,0.0115
2025-08-10 04:00:00,1754798403.0,0.0115
2025-08-10 05:00:00,1754802014.0,0.0115
2025-08-10 06:00:00,1754805608.0,0.0115
2025-08-10 07:00:00,1754809216.0,0.0115
2025-08-10 08:00:00,1754812815.0,0.0115
2025-08-10 09:00:00,1754816411.0,0.0115
2025-08-10 10:00:00,1754820010.0,0.0115
2025-08-10 11:00:00,1754823613.0,0.0115
2025-08-10 12:00:00,1754827215.0,0.0115
2025-08-10 13:00:00,1754830802.0,0.0115
2025-08-10 14:00:00,1754834405.0,0.0115
2025-08-10 15:00:00,1754838016.0,0.0115
2025-08-10 16:00:00,1754841602.0,0.0115
2025-08-10 17:00:00,1754845203.0,0.0115
2025-08-10 18:00:00,1754848809.0,0.0115
2025-08-10 19:00:00,1754852405.0,0.0115
2025-08-10 20:00:00,1754856016.0,0.0115
2025-08-10 21:00:00,1754859617.0,0.01
2025-08-10 22:00:00,1754863206.0,0.0095
2025-08-10 23:00:00,1754866810.0,0.009
2025-08-11 00:00:00,1754870414.0,0.008
2025-08-11 01:00:00,1754874006.0,0.0085
2025-08-11 02:00:00,1754877604.0,0.0095
2025-08-11 03:00:00,1754881205.0,0.0085
2025-08-11 04:00:00,1754884804.0,0.0085
2025-08-11 05:00:00,1754888410.0,0.009
2025-08-11 06:00:00,1754892015.0,0.0085
2025-08-11 07:00:00,1754895606.0,0.0085
2025-08-11 08:00:00,1754899204.0,0.008
2025-08-11 09:00:00,1754902816.0,0.007
2025-08-11 10:00:00,1754906405.0,0.008
2025-08-11 11:00:00,1754910007.0,0.006
2025-08-11 12:00:00,1754913617.0,0.006
2025-08-11 13:00:00,1754917217.0,0.0065
2025-08-11 14:00:00,1754920811.0,0.006
2025-08-11 15:00:00,1754924413.0,0.0065
2025-08-11 16:00:00,1754928003.0,0.0045
2025-08-11 17:00:00,1754931606.0,0.0045
2025-08-11 18:00:00,1754935211.0,0.0045
2025-08-11 19:00:00,1754938805.0,0.0045
2025-08-11 20:00:00,1754942406.0,0.0045
2025-08-11 21:00:00,1754946010.0,0.0045
2025-08-11 22:00:00,1754949606.0,0.0045
2025-08-11 23:00:00,1754953209.0,0.0045
2025-08-12 00:00:00,1754956806.0,0.0045
2025-08-12 01:00:00,1754960406.0,0.0045
2025-08-12 02:00:00,1754964002.0,0.0045
2025-08-12 03:00:00,1754967610.0,0.0045
2025-08-12 04:00:00,1754971212.0,0.0045
2025-08-12 05:00:00,1754974811.0,0.0045
2025-08-12 06:00:00,1754978415.0,0.0045
2025-08-12 07:00:00,1754982012.0,0.0045
2025-08-12 08:00:00,1754985607.0,0.0045
2025-08-12 09:00:00,1754989218.0,0.0045
2025-08-12 10:00:00,1754992803.0,0.0045
2025-08-12 11:00:00,1754996404.0,0.0045
2025-08-12 12:00:00,1755000010.0,0.0045
2025-08-12 13:00:00,1755003609.0,0.0045
2025-08-12 14:00:00,1755007203.0,0.0045
2025-08-12 15:00:00,1755010807.0,0.0045
2025-08-12 16:00:00,1755014412.0,0.0045
2025-08-12 17:00:00,1755018009.0,0.0045
2026-02-01 04:00:00,1769921777.0,0.0005
2025-08-12 18:00:00,1755021612.0,0.0045
2025-08-12 19:00:00,1755025210.0,0.0045
2025-08-12 20:00:00,1755028807.0,0.0045
2025-08-12 21:00:00,1755032413.0,0.0045
2025-08-12 22:00:00,1755036009.0,0.0045
2025-08-12 23:00:00,1755039603.0,0.0045
2025-08-13 00:00:00,1755043205.0,0.0045
2025-08-13 01:00:00,1755046802.0,0.0045
2025-08-13 02:00:00,1755050413.0,0.0045
2025-08-13 03:00:00,1755054014.0,0.0045
2025-08-13 04:00:00,1755057604.0,0.0045
2025-08-13 05:00:00,1755061202.0,0.0045
2025-08-13 06:00:00,1755064812.0,0.0045
2025-08-13 07:00:00,1755068413.0,0.0045
2025-08-13 08:00:00,1755072006.0,0.0045
2025-08-13 09:00:00,1755075619.0,0.0045
2025-08-13 10:00:00,1755079206.0,0.0045
2025-08-13 11:00:00,1755082808.0,0.0045
2025-08-13 12:00:00,1755086402.0,0.0045
2025-08-13 13:00:00,1755090022.0,0.0045
2025-08-13 14:00:00,1755093609.0,0.0045
2025-08-13 15:00:00,1755097212.0,0.0045
2025-08-13 16:00:00,1755100811.0,0.0045
2025-08-13 17:00:00,1755104406.0,0.0045
2025-08-13 18:00:00,1755108013.0,0.0045
2025-08-13 19:00:00,1755111614.0,0.0045
2025-08-13 20:00:00,1755115204.0,0.0045
2025-08-13 21:00:00,1755118804.0,0.0045
2025-08-13 22:00:00,1755122404.0,0.0045
2025-08-13 23:00:00,1755126009.0,0.0045
2025-08-14 00:00:00,1755129607.0,0.0045
2025-08-14 01:00:00,1755133206.0,0.0045
2025-08-14 02:00:00,1755136807.0,0.0045
2025-08-14 03:00:00,1755140402.0,0.0045
2025-08-14 04:00:00,1755144007.0,0.0045
2025-08-14 05:00:00,1755147603.0,0.0045
2025-08-14 06:00:00,1755151204.0,0.0045
2025-08-14 07:00:00,1755154814.0,0.0045
2025-08-14 08:00:00,1755158410.0,0.0045
2025-08-14 09:00:00,1755162002.0,0.0045
