time_utc,t,p
2025-08-08 20:00:00,1754683509.0,0.5
2025-08-08 21:00:00,1754686803.0,0.5
2025-08-08 22:00:00,1754690413.0,0.5
2025-08-08 23:00:00,1754694005.0,0.49
2025-08-09 00:00:00,1754697611.0,0.44
2025-08-09 01:00:00,1754701208.0,0.395
2025-08-09 02:00:00,1754704806.0,0.055
2025-08-09 03:00:00,1754708418.0,0.055
2025-08-09 04:00:00,1754712002.0,0.06
2025-08-09 05:00:00,1754715614.0,0.06
2025-08-09 06:00:00,1754719205.0,0.06
2025-08-09 07:00:00,1754722815.0,0.055
2025-08-09 08:00:00,1754726410.0,0.055
2025-08-09 09:00:00,1754730020.0,0.055
2025-08-09 10:00:00,1754733616.0,0.055
2025-08-09 11:00:00,1754737210.0,0.055
2025-08-09 12:00:00,1754740811.0,0.055
2025-08-09 13:00:00,1754744416.0,0.055
2025-08-09 14:00:00,1754748010.0,0.055
2025-08-09 15:00:00,1754751604.0,0.055
2025-08-09 16:00:00,1754755202.0,0.055
2025-08-09 17:00:00,1754758804.0,0.055
2025-08-09 18:00:00,1754762408.0,0.055
2025-08-09 19:00:00,1754766005.0,0.055
2025-08-09 20:00:00,1754769616.0,0.055
2025-08-09 21:00:00,1754773207.0,0.06
2025-08-09 22:00:00,1754776816.0,0.055
2025-08-09 23:00:00,1754780403.0,0.065
2025-08-10 00:00:00,1754784002.0,0.065
2025-08-10 01:00:00,1754787602.0,0.06
2025-08-10 02:00:00,1754791206.0,0.06
2025-08-10 03:00:00,1754794811.0,0.065
2025-08-10 04:00:00,1754798411.0,0.065
2025-08-10 05:00:00,1754802009.0,0.065
2025-08-10 06:00:00,1754805614.0,0.065
2025-08-10 07:00:00,1754809209.0,0.065
2025-08-10 08:00:00,1754812807.0,0.065
2025-08-10 09:00:00,1754816409.0,0.065
2025-08-10 10:00:00,1754820009.0,0.065
2025-08-10 11:00:00,1754823610.0,0.065
2025-08-10 12:00:00,1754827213.0,0.065
2025-08-10 13:00:00,1754830813.0,0.065
2025-08-10 14:00:00,1754834402.0,0.065
2025-08-10 15:00:00,1754838013.0,0.065
2025-08-10 16:00:00,1754841614.0,0.065
2025-08-10 17:00:00,1754845202.0,0.065
2025-08-10 18:00:00,1754848806.0,0.065
2025-08-10 19:00:00,1754852403.0,0.065
2025-08-10 20:00:00,1754856013.0,0.065
2025-08-10 21:00:00,1754859614.0,0.065
2025-08-10 22:00:00,1754863204.0,0.06
2025-08-10 23:00:00,1754866807.0,0.06
2025-08-11 00:00:00,1754870412.0,0.06
2025-08-11 01:00:00,1754874004.0,0.06
2025-08-11 02:00:00,1754877602.0,0.06
2025-08-11 03:00:00,1754881202.0,0.06
2025-08-11 04:00:00,1754884816.0,0.06
2025-08-11 05:00:00,1754888408.0,0.06
2025-08-11 06:00:00,1754892013.0,0.06
2025-08-11 07:00:00,1754895602.0,0.06
2025-08-11 08:00:00,1754899216.0,0.06
2025-08-11 09:00:00,1754902818.0,0.06
2025-08-11 10:00:00,1754906405.0,0.055
2025-08-11 11:00:00,1754910008.0,0.055
2025-08-11 12:00:00,1754913619.0,0.055
2025-08-11 13:00:00,1754917202.0,0.055
2025-08-11 14:00:00,1754920813.0,0.055
2025-08-11 15:00:00,1754924415.0,0.055
2025-08-11 16:00:00,1754928004.0,0.055
2025-08-11 17:00:00,1754931608.0,0.055
2025-08-11 18:00:00,1754935211.0,0.055
2025-08-11 19:00:00,1754938806.0,0.055
2025-08-11 20:00:00,1754942408.0,0.055
2025-08-11 21:00:00,1754946010.0,0.055
2025-08-11 22:00:00,1754949606.0,0.055
2025-08-11 23:00:00,1754953210.0,0.065
2025-08-12 00:00:00,1754956806.0,0.065
2025-08-12 01:00:00,1754960406.0,0.065
2025-08-12 02:00:00,1754964003.0,0.065
2025-08-12 03:00:00,1754967612.0,0.065
2025-08-12 04:00:00,1754971213.0,0.065
2025-08-12 05:00:00,1754974812.0,0.065
2025-08-12 06:00:00,1754978415.0,0.065
2025-08-12 07:00:00,1754982013.0,0.065
2025-08-12 08:00:00,1754985608.0,0.065
2025-08-12 09:00:00,1754989207.0,0.065
2025-08-12 10:00:00,1754992809.0,0.065
2025-08-12 11:00:00,1754996410.0,0.065
2025-08-12 12:00:00,1755000002.0,0.065
2025-08-12 13:00:00,1755003602.0,0.065
2025-08-12 14:00:00,1755007204.0,0.065
2025-08-12 15:00:00,1755010814.0,0.065
2025-08-12 16:00:00,1755014405.0,0.065
2025-08-12 17:00:00,1755018015.0,0.065
2026-02-01 04:00:00,1769921355.0,0.0005
2025-08-12 18:00:00,1755021611.0,0.065
2025-08-12 19:00:00,1755025207.0,0.065
2025-08-12 20:00:00,1755028804.0,0.065
2025-08-12 21:00:00,1755032410.0,0.065
2025-08-12 22:00:00,1755036008.0,0.065
